name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alate,bee_alate,Interceptor Drone,Apocrita Association,,,80,10,200,,50,,,325,500,500,250,250,12,FRONT,,200,0,0.8,,,0,0,,,,,,,,,,,,,,,,,,,,no_bp,,0,,,,101
Phrag,bee_phrag,Protector Drone,Apocrita Association,flarelauncher_fighter,,500,60,400,,75,,,150,150,150,200,200,25,FRONT,,240,0,0.8,,,0,0,,,,,,,,,,,,,,,,,,,,no_bp,,0,,,,102
Brachypter,bee_brachypter,Fighter,Apocrita Association,,,350,50,300,,40,,,260,200,200,260,260,20,FRONT,,220,0,0.8,,,1,1,,,,,,,,,,,,,,,,,,,,no_bp,,0,,,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halict,bee_halict,Frigate,Apocrita Association,forgevats,5,2000,220,2000,,200,40,,120,120,120,80,80,140,FRONT,,150,0.25,0.8,,,12,25,50,50,1,25,10,12000,10,10,240,0.25,5,5,,,,,,,,apocrita_ship_bp,1,0.4,2,2,,201
Halict (E),bee_halict_e,Frigate,Apocrita Association,fastmissileracks,5,2000,210,2000,,200,40,,120,120,120,75,75,140,FRONT,,140,0.35,0.8,,,12,25,50,50,1,25,10,10000,10,10,240,0.25,5,5,,,,,,,,rare_bp,1,0.4,2,2,,201
Osmia,bee_osmia,Frigate,Apocrita Association,plasmajets,4,1400,160,2100,,180,40,,150,150,150,90,90,120,FRONT,,220,0.25,0.8,,,10,15,30,20,1,25,10,8000,10,10,240,0.25,4,4,,,,,,,,apocrita_ship_bp,1,0.5,2,2,,202
Osmia (P),bee_osmia_p,Frigate,Apocrita Association,ammofeed,4,1400,180,1900,,170,40,,150,140,150,90,90,120,FRONT,,200,0.3,1,,,10,15,30,20,1,25,10,7000,10,10,240,0.25,4,4,,,,,,,,pirate_bp,1,0.5,2,2,,202
Zethus,bee_zethus,Frigate,Apocrita Association,flarelauncher_active,5,2200,200,2000,,200,45,1,120,120,110,70,70,160,FRONT,,240,0.25,0.8,,,15,25,40,30,1,25,10,11000,10,10,240,0.25,5,5,,,,,,,CARRIER,apocrita_ship_bp,1,0.5,2,2,,203
Synoeca,bee_synoeca,Frigate ,Apocrita Association,fastmissileracks,10,2500,240,5000,,400,45,,150,150,150,80,80,220,FRONT,,320,0.2,0.65,,,20,30,35,25,1,25,10,40000,10,10,280,0.25,15,15,,,,,,,,rare_bp,0.3,0.4,2,3,,204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
