id,type,text1,text2,text3,text4,notes
,,,,,,
#SHIPS,,,,,,
,,,,,,
bee_osmia,SHIP,"The Osmia is a simple, speedy and economical frigate that is commonly seen in Association light patrol fleets. While it is not likely to break any records with its frail hull and light but versatile weapon mounts, it’s still a serviceable scout and picket ship.

Some joke that the Osmia is better at running away than fighting, but the harassment and distraction it provides is very much appreciated by the crews of allied ships. ",,,,
bee_osmia_p,SHIP,"Trading some mobility for additional firepower, the Osmia (P) has been turned from an agile scout into a lightweight brawler. Though still fragile, the offensive power provided by its ammo-feeder, ballistic mount conversion and extra missile slot makes it a risky ship to ignore.

   ",,,,
bee_halict,SHIP,"Focused on missiles, the Halict could be seen as a competitor to the Vigilance. While limited to small mounts, it has a built-in missile autoforge and is more capable of defending itself or continuing to fight once its payload has been fired.

Though it is a generally unassuming ship, a small, post-collapse polity like the Apocrita Association beginning to produce an as of yet unseen frigate-sized ship with an autoforge system has certainly turned some heads during the Association’s early days. Despite that, nowadays the humble Halict is mostly ignored when discussing the Association’s unique ship designs in favour of rarer, more notorious hulls.",,,,
bee_halict_e,SHIP,"This variant of the Halict was designed as an export to the Persean League. With more alpha-strike ability at the cost of sustainability, it is a somewhat more self-sufficient alternative to the Vigilance, with an additional support package to make it more competitive. 

As a hull built for export, it has slightly lower-quality armour plating and uses cheaper engine and shield components, though this results in only a marginal drop in combat effectiveness.",,,,
bee_zethus,SHIP,"Designed to be a fast and compact carrier, the Zethus allows even small picket fleets to field fighters without having to rely built-in drones like the Shepherd or Tempest. 

Being one of the simplest and most straightforward “blueprint-hacked” ships, the Zethus is at times criticized as a waste of the technology, as supposedly any shipyard could construct such a vessel out of decommissioned Drover parts. Yet, they do not.",,,,
bee_synoeca,SHIP,"The surprisingly advanced Synoeca is a powerful frigate that is heavily optimized for anti-armour missile alpha strikes.

Given only to the most loyal and experienced captains, the Synoeca’s internal autoforges and advanced electronics are quite difficult and expensive to maintain, but its offensive potential is deemed well worth it the cost. Believed to be fully designed by an AI, this vessel has been subject of some scrutiny but the Apocrita Association denies all accusations, however unconvincingly. As the pride of the Association’s fleets, it is often compared to the small but deadly creatures that live in the jungles of Apocrita itself. 
",,,,
,,,,,,
bee_xyloc,SHIP,"Combining aspects of a mining vessel and a warship, the Xyloc is a fairly agile light destroyer built around what is essentially a very large mining laser. It is fragile and has no sustainable way of breaking enemy shields, but can quickly chew through armour and hull, so deploying it with proper support is advised.",,,,
bee_sceliphron,SHIP,"A dangerous long-range destroyer armed with a large ballistics mount and ammo-feeder system, the Sceliphron was the first known vessel created by the Apocrita Association's ""blueprint-hacking"" technology.

The Sceliphron lives and dies by its large gun, and has ample support systems to keep it running. While it has impressive firepower, it is vulnerable to flanking, and may need escorts to reach its full potential.
",,,,
