name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,icon
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Degraded Damper Field,acs_degraded_damper,1,,,,,,,3,0.01,0.25,2,1,0,,,,,TRUE,,,,TRUE,TRUE,graphics/icons/hullsys/damper_field.png
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Raider Charge,acs_skirmisherdriveStats,1,,,,,,,,,2,7,1,25,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Epiphany Blink,acs_phaseteleporter,,,,,,,,6,10,0.1,0,0.5,0,,,,TRUE,,,,,,,graphics/icons/hullsys/displacer.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Siege Damper,acs_ammofeeddamper,1,,,,,,,,,2,9,1,25,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Lancer Lunge,acs_raiderdriveSafe,1,,,,,,,,,2,9,1,25,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Raider Lunge,acs_raiderdrive,1,,,,,,,,,2,7,1,25,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Skirmisher Charge,acs_skirmisherdriveStatsSafe,1,,,,,,,,,2,7,1,25,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Flux Distributor,acs_fluxdistributor,,,,,,,,2,0.1,0.5,2,1,0,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Mobility Burn,acs_advburndrive,1,,,,,,,2,0.05,0.5,3,1,0,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,
