bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,maximumFleetFP,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
vayra_sozzer_bounty,20,spaceCommander,Sozzer,Red,reckless,Red's Raiders,Bedlam,FEMALE,pirates,graphics/portraits/vayra_sozzer.png,"The dread pirate Sozzer Red appears on your comm screen, lounging in her command chair on a dim, smoke-filled bridge. Without looking at the comm console, she languidly raises one blood-crusted glove as if to examine it, and begins to speak.

""You know when Rousseau said it all went wrong? Back in the caveman days, one man looked across the stream and saw another man - and said, that one's stronger than me, taller than me, faster than me. You follow?,"" she lowers the glove and swings around in her chair, uncrossing her legs and leaning forward to look directly into the comm unit. Doing so gives you a clear view of her helmet's faceplate - crudely covered in scrap steel and painted red and white in a rough approximation of a stylized, grinning skull.

""Once that happened, that was the end of everything good. Once man has seen his reflection and found himself lacking, he was set on his own path to defeat. Wanting. That's what gets us all in the end. Funny enough, Garden of Eden gets us the same way - except God's the one who's stronger, taller, faster in that case."" 

She reaches forward and hovers a finger over the comm set as if about to disconnect the call, then seems to think for a second and continues to speak. ""Point is, it'll never be enough for you. You're the one with the monster inside, eating, eating, eating, more, more MORE. Why do you do it?,"" She cocks her head as if expecting an answer, but before you can say anything her finger stabs down and terminates the connection. Your tactical officer pings you with an urgent notification; the Raider fleet is spooling drives to combat power, and targeting systems are beginning to paint your fleet with long-range scanners.",FALSE,kadur_remnant,150000,10,"The Kadur Remnant have posted an open-ended bounty on the dread pirate Sozzer Red, reknowned for her brutal raiding and hijacking of Kadur supply convoys since well before the Hegemony invasion and fall of Kadur and Oasis. While Kadur justiciars have finally managed to track her and her Raiders to their out-system lair, they lack the strength to have any hope of taking the pirates down on their own and therefore must turn to independent contractors. Bringing them proof of her death would be a sure way to increase your standing with the Kadur Remnant, and might net you some nice combat vessels as salvage - she is known to pilot a uniquely modified Sunbird-class destroyer and command a small fleet of stolen Kadur ships as well as more typical pirate craft.",vayra_sunbird_sozzer_red,"vayra_sunbird_fs, vayra_sunbird_fs, vayra_sunbird_fs, vayra_sunbird_fs",80,1.1,100,1,,,TRUE,FALSE,206,5,50
vayra_lightforger_bounty,20,spaceCommander,Riven,Lightforger,aggressive,Lightforger Project,TTS All Systems Red,MALE,tritachyon,graphics/portraits/vayra_lightforger.png,"Riven looks up disinterestedly as your comm screen flares to life, showing him against the backdrop of a well-manicured Corporate bridge deck. ""Well, well, well. Did the Kadur send you to take back their toys? It's a little late, my friend."" He shrugs, and you get the distinct feeling that he's smirking at you from behind his polarized faceplate. ""I guess I shouldn't be surprised that a bunch of religious nutjobs from a backwater system can barely keep track of their own assets."" 

Chuckling softly, he leans back in his command chair and spreads his arms wide. ""Frankly, it's a wonder they managed to find us at all. Come on, then! Let me show you what this technology is capable of in the hands of a competent spacer.""",FALSE,kadur_remnant,200000,10,"Your contacts have made you aware of a clandestine Tri-Tachyon skunkworks project centered around the integration and reverse-engineering of salvaged Kadur vessels, taking place at a secret research facility in a fringe system far from the prying eyes of Hegemony inspectors - or Corporate security patrols. This project is reportedly nearing completion and has produced at least one working prototype combat vessel, currently undergoing combat trials under the command of one Riven Lightforger; a famous Corporate test pilot. Such a vessel would certainly be worth the risk it might take for you to ""acquire"" it, and the Kadur Remnant would no doubt be pleased to see it no longer in the hands of the Corporation.",vayra_targe_phase_lightforger,"doom_Support, harbinger_Strike, harbinger_Strike, afflictor_Strike, afflictor_Strike, shade_Assault, shade_Assault",120,1.2,200,1,,,FALSE,FALSE,207,10,100
vayra_caliph_bounty,40,spaceMarshal,Azrael,Maalik,aggressive,The Last Crusade,KHS-001 Hand of God,MALE,kadur_remnant,graphics/portraits/portrait_league01.png,"Azrael Maalik, last commander of the Kadur Theocracy, appears on your comm screen. Flanked by his bridge crew, golden-masked and impassive, he regards you for a moment then begins to speak: ""Did you ever hear the tragedy of the Harrowing? No? I thought not. It's not a story the Hegemony would tell you. It's the story of the death of a culture. The Kadur Theocracy was an sovereign polity, rich and powerful enough to stand independent from both the Hegemony and the League. Its people lived happy lives under the watchful gaze of the Theocrats, fed by the bountiful farms of Oasis and well-equipped with materiel produced from the mineral riches of Kadur... But the Hegemony saw this as an affront to its power. We had two Caliph-class superdreadnoughts, and could even have stood against a full-scale attack. The only thing we were unprepared for was the deployment of a Planet Killer-class weapon, which eventually, of course, they resorted to. Unfortunately, we fought their grand invasion fleet to a standstill, then they deployed the virus bomb that destroyed our home and killed millions. Ironic, we could protect ourselves, but not our people.""

He sighs heavily. ""But I suppose you have not come here to hear an old man talk, have you? You are not the first Hegemony running-dog to come chasing glory, nor shall you be the last. Fine, come then - let us fight. Perhaps once the wreckage of your fleet drifts slowly across the reaches of this system we shall know peace for a moment.""",FALSE,hegemony,1000000,25,"Reports indicate that the sole surviving Kadur Theocracy Caliph-class superdreadnought, the KHS-001 Hand of God, has been tracked back to a remote system where a flotilla of Theocracy loyalists lurk plotting strikes against Hegemony controlled systems. Agents of the Hegemon have naturally expressed an interest in having this persistent thorn in their side removed - by any means necessary. Hunting this bounty could secure an admiral's place among the stars forever, whether that be as a legend... or a slowly expanding cloud of debris.",vayra_caliph_revenant,,300,1.2,600,1,,,TRUE,FALSE,212,30,100
vayra_rubin_bounty_one,20,spaceAdmiral,Rubin,Izaqtpi,reckless,Rubin's Ralliers,KHS Down The Rabbit Hole,FEMALE,kadur_remnant,graphics/portraits/vayra_rubin.png,"As the opposing force begins to fill your bridge's view, you receive a commlink from the enemy fleet. Your comms officer patches it through, and you are met by the sight of a woman in traditional Theocrat Remnant attire, flanked by ivory- and brass-masked staff officers. As you watch, she removes and lowers her own mask to let it hang suspended from her collar, obscuring the Kaduran eye emblem painted on her combat armor. Her eyes blaze with a lust for violence, and she eyes you up and down like one would a pest. 

""You affront me with your presence, infidel. What, the mighty Hegemony has finally grown tired of sending their dogs to die? Pity, the last one almost posed a challenge."" She walks closer to the camera, until nothing but her scornful eyes are in your view. ""Perhaps you'll bring something unique to me, you don't look like the type to cling to old-world doctrine.""

She clears her throat and brushes a few locks of hair back under her hood, stepping back into her command chair. ""Prepare yourself for the might that once crowned Kadur! Die well, infidel!""

She terminates the call without giving you a chance to respond.",FALSE,hegemony,250000,10,"Hegemony sources have posted an especially lucrative bounty on one ""Rubin Izaqtpi"", a notorious Kadur leader who is responsible for numerous assaults on Hegemony pickets and logistics fleets. Heading a rather substantial fleet, Rubin has clamped down hard on every armed response to her rampage, and as such local authorities refuse to condemn another patrol to ruin. Kill at all costs, capture is not an option.",vayra_prophet_rubin,"rc_vayra_seraph_Immortal, rc_vayra_rukh_Immortal, rc_vayra_rukh_Immortal, rc_vayra_shirdal_Drover-, rc_vayra_shirdal_Drover-, rc_vayra_targe_SO, rc_vayra_targe_SO, rc_vayra_targe_SO, rc_vayra_buzzard_SO, rc_vayra_buzzard_SO, rc_vayra_buzzard_SO, rc_vayra_buzzard_SO, rc_vayra_buzzard_Warplock, rc_vayra_buzzard_Warplock, rc_vayra_buzzard_Warplock, rc_vayra_buzzard_Warplock, rc_vayra_hyena_Harassment, rc_vayra_hyena_Harassment, rc_vayra_hyena_Harassment, rc_vayra_hyena_Harassment",100,1,300,1,,,TRUE,FALSE,207,10,50
vayra_rubin_bounty_two,30,spaceCommander,Rubin,Heresiarch,reckless,Rubin's Revenge,From The Abyss,FEMALE,luddic_path,graphics/portraits/vayra_rubin_pather.png,"As you observe the colossal fleet in front of you, a chime sounds on your comms. Accepting the communication, you are greeted by the sight of the Heresiarch herself, Rubin, her former Kaduran attire replaced with combat armor hastily repainted Luddic green. 

""Ah, they always return to the scene of the crime. From the moment you struck me from the stars, I've known and observed every move you've made. Every visit to the market, every bounty you took, every time you've fucking blinked. I've waited for my revenge, and much to my delight you've offered yourself up - not that I expected anything else from you. You spacers are all the same. You wrap yourselves in the flags of some polity or another, clinging to CHILDISH ideals like pragmatism and the rule of law. Its despicable. The very sight of your fleet sickens me, such a chaotic mix of heresies. You'll go across the sector just to chase down a shiny new toy or loud cannon, but you won't exert the effort to even think why you do. Its not in your nature to question such things. Buy, sell, murder, and annihilate. Its all the same to you, you just get paid for it. You only came after me because you knew I had another plaything for you to rip from its owner, just to sit in some forgotten storage dock for a cycle or two."" 

She clears her throat, seemingly aware at the fact she was wasting her breath lecturing to someone who just wants to kill her. ""If you'll afford me a moment of brevity, please. I learned a phrase in your language that I think would be fitting."" 

""I lived, bitch.""",FALSE,kadur_remnant,500000,20,"Your comms inbox has been flooded with assorted junk mail, news updates on hostilities, and odd ads for ""Sindrian Growth Pills"", but among the junk you've received one communique appears worthy of further investigation. A strangely formatted missive addressed to you by a lower Kadur logistics officer, and forwarded through a complicated series of dead-drops and proxy routes. It originally contained capitalization and grammatical errors so bad your terminal's autocorrect threw its hands up and just reformatted the message entirely. 

It now simply reads: ""I send you this challenge, from traitor to infidel. It isn't in your nature to refuse such combat. I know your type. You, and you alone, are responsible for this.""  Attached is a bounty data download, apparently posted... by the target.",vayra_prophet_lp_rubin,"vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin, vayra_targe_lp_rubin",200,1.2,400,1,,vayra_rubin_bounty_one,FALSE,FALSE,209,20,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
