name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
# KADUR BUILTINS,,,,,,,,,,,,,,,,,,
Guardian Targeting Auxiliaries,vayra_targeting_core,,,Kadur Theocracy,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_targeting_core,"This ship has been fitted with built-in advanced targeting systems, extending the range of ballistic and energy weapons by %s.

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",,graphics/hullmods/vayra_targeting_core.png
Guardian Engineering,vayra_sometimes_war,,,Kadur Theocracy,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_sometimes_war,"This ship is a relatively recent design by Kadur shiptechs, conforming to their defensive Eternal Guardian fleet doctrine.

Reinforced structural beams and multiple-redundant bulkheads have increased hull integrity by %s, and mass-augmented plating has been applied to improve the ship's armor by %s points.

Standard drive units feature rear-focused thrust vectoring, reducing turn speed by %s and increasing fuel consumption by %s per lightyear travelled in hyperspace. Thankfully, additional fuel tanks have been fitted to maintain the vessel's range.

The ship has been fitted with a omnidirectional shield generator somewhat improved from the typical Kadur fare, with a %s degree shield arc, %s flux per damage efficiency, and an upkeep cost equal to %s of the ship's base passive flux dissipation.",,graphics/hullmods/vayra_sometimes_war.png
Forever War Engineering,vayra_forever_war,,,Kadur Theocracy,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_forever_war,"This ship is a legacy design stemming from the corrupted Eagle and Falcon MPCs originally captured by the Kadur Theocracy, built to conform to their aggressive Forever War fleet doctrine. 

Reinforced structural beams and multiple-redundant bulkheads have increased hull integrity by %s, and mass-augmented plating has been applied to improve the ship's armor by %s points. 

The ship's standard drive units feature heavily rear-focused thrust vectoring, increasing speed by %s at the cost of %s maneuverability and %s fuel per lightyear travelled in hyperspace. Thankfully, additional fuel tanks have been fitted to maintain the vessel's range.

The net result is a highly specialized craft, able - in the hands of a skilled helmsman - to maintain its distance from others until an opening appears, then charge in to inflict as much damage as possible before their target recovers and can turn their poor shielding and maneuverability against them. A wise captain will minimize the impact of their shields' high upkeep and poor flux efficiency by only raising them when absolutely necessary, and will only engage in fights where their victory is assured as they lack the maneuverability or long-term durability to escape should they miscalculate. 
",,graphics/hullmods/vayra_forever_war.png
Substandard Shield Generator,vayra_garbage_shields,,,Kadur Theocracy,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGarbageShields,"The ship has been retrofitted with a shield generator produced from the corrupted MPC held at Star Fortress Reqiuem. As a result, shield arc has been reduced by %s, shields produce %s more flux per point of damage received, and upkeep costs are increased by %s. Due to the extensive retrofitting necessary for it to function at all, the shield generator is incompatible with modifications such as Extended Shields or Omni Shield Emitter Conversion.",,graphics/hullmods/vayra_caliph_shield.png
Priority Flux Redirects,vayra_priority_flux,,,Kadur Holy Fleet,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_priority_flux,"This ship has been extensively modified to boost the power of any currently active systems at the expense of all others, gaining the following benefits:

+%s speed and %s maneuverability when at zero flux.
+%s shield performance and shield upkeep flux cost.
+%s fire rate when shields lowered, but -%s fire rate when shields raised.

Due to the fact that all systems are already operating at maximum capacity, modifications such as Safety Overrides cannot be installed.",,graphics/hullmods/shared_flux_sink.png
Heavy Weapons Integration,vayra_heavy_integration,,,Kadur Theocracy,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_heavy_integration,Reduces the ordnance point cost of large weapons by %s.,,graphics/icons/skills/ordnance_expert.png
Martyr's Blessing,vayra_secret_buff_hullmod,,,Kadur Theocracy,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.VayraSecretMartyrBuff,YOU NEVER SHOULDA COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/vayra_forever_war.png
,,,,,,,,,,,,,,,,,,
# NO LONGER BUILT-IN ONLY,,,,,,,,,,,,,,,,,,
Guardian IFF Comm Array,vayra_kadur_iff,,,Kadur Theocracy,,,,,TRUE,,8,16,24,40,data.scripts.hullmods.VayraGuardianIFF,"Marks strike craft launched from this ship with a Kadur IFF code beacon, preventing them from being targeted by Kadur antifighter systems.",,graphics/hullmods/vayra_kadur_iff.png
,,,,,,,,,,,,,,,,,,
# CALIPH BUILTINS,,,,,,,,,,,,,,,,,,
