id,type,text1,text2,text3,notes
vayra_burkaan,CUSTOM,"Rich in resources but continuously bombarded by heat and gravitational forces by the planet's twin stars, it's a wonder that anyone dares approach Burkaan at all. Nevertheless, some independent miners do call the planet home, residing in utilitarian low-orbit habitats which use the planet's bulk to shield themselves from the worst of the solar radiation.",,"Rich in resources but continuously bombarded by heat and gravitational forces by the planet's twin stars, it's a wonder that anyone dares approach Burkaan at all. Nevertheless, some independent miners do call the planet home, residing in utilitarian low-orbit habitats which use the planet's bulk to shield themselves from the worst of the solar radiation.",
vayra_gehenna_angra_mainyu,CUSTOM,"Caught firmly in the grip of Gehenna and heated powerfully by its gravitational forces as well as friction with its accretion disk, Angra Mainyu is a hot gas giant of only just sub-stellar mass. The constant reactions within its core and atmosphere propel millions of tonnes of ionized gases into space every minute, creating a powerful magnetic field across the entire inner volume of the system.",,"Caught firmly in the grip of Gehenna and heated powerfully by its gravitational forces as well as friction with its accretion disk, Angra Mainyu is a hot gas giant of only just sub-stellar mass. The constant reactions within its core and atmosphere propel millions of tonnes of ionized gases into space every minute, creating a powerful magnetic field across the entire inner volume of the system.",
vayra_gehenna_perdition,CUSTOM,"A small, ramshackle deep-space construct, held in place against the powerful gravitational draw of Gehenna by massive station-keeping thrusters. A dedicated crew of the sector's most wanted pirates inhabit Perdition, taking advantage of the station's hellish environs to partially ensure their security.",,"A small, ramshackle deep-space construct, held in place against the powerful gravitational draw of Gehenna by massive station-keeping thrusters. A dedicated crew of the sector's most wanted pirates inhabit Perdition, taking advantage of the station's hellish environs to partially ensure their security.",
vayra_gehenna_tortuga,CUSTOM,"Originally anchored around the hulk of a Domain-era seedship whose crew turned buccaneer even before the Collapse, the pirate haven of Tortuga has since grown to an expansive deep-space megacity. Millions of souls seeking an escape from the panopticon of the Hegemony, the megacorps, or their local governments have one way or another made their way here; whether or not the anarchy and lawlessness of Tortuga represents an actual improvement for them is a different question.",,"Originally anchored around the hulk of a Domain-era seedship whose crew turned buccaneer even before the Collapse, the pirate haven of Tortuga has since grown to an expansive deep-space megacity. Millions of souls seeking an escape from the panopticon of the Hegemony, the megacorps, or their local governments have one way or another made their way here; whether or not the anarchy and lawlessness of Tortuga represents an actual improvement for them is a different question.",
vayra_kadur,CUSTOM,"An early beneficiary of Domain terraforming projects, the surface of Kadur was once a habitable, resource-rich desert spotted with lush oases and sapphire seas and inhabited by nearly a hundred million people. Now, however, the planet's atmosphere is stained an ugly yellow-brown - choked with long-lived viral spores immediately lethal to all known forms of life.",,"As you enter orbit around Kadur, automated sentry beacons ping you with incessant messages warning of viral contamination and urging you to reverse course. Thick, wavering tendrils of spores seem to reach towards your ship from the upper atmosphere like the grasping tentacles of some enormous beast, necessitating continual minute adjustments in order to avoid. Despite these inimical conditions, some crazed few still inhabit the fragmented and battle-scarred ruins of the orbital facilities around the planet: Refugees with nowhere else to go, of course, but also pirates, smugglers, and other low-lifes whose need for a place to lay low outweighs their concern for the dangers present.",
vayra_kadur_revenant,CUSTOM,"A katamari of derelict spacecraft, arrayed around the massive burned-out hulk of a Caliph-class dreadnought as a centerpiece and foundation. Scaffolding, rigging, and hastily constructed habitation domes encrust the exterior of every ship that looks to retain even a shred of structural integrity.",,"A katamari of derelict spacecraft, arrayed around the massive burned-out hulk of a Caliph-class dreadnought as a centerpiece and foundation. Scaffolding, rigging, and hastily constructed habitation domes encrust the exterior of every ship that looks to retain even a shred of structural integrity.",
vayra_kadur_toxx,CUSTOM,"A hulking mass of space wreckage, standing out even among the shattered fragments of orbital docks, shipyards, stations and satellites ringing Kadur. Occasionally, a small segment will break off and descend into the toxic yellow-brown soup of the planet's spore-choked atmosphere, trailing flame.",,"As you enter orbit around Kadur, automated sentry beacons ping you with incessant messages warning of viral contamination and urging you to reverse course. Thick, wavering tendrils of spores seem to reach towards your ship from the upper atmosphere like the grasping tentacles of some enormous beast, necessitating continual minute adjustments in order to avoid. Despite these inimical conditions, some crazed few still inhabit the fragmented and battle-scarred ruins of the orbital facilities around the planet: Refugees with nowhere else to go, of course, but also pirates, smugglers, and other low-lifes whose need for a place to lay low outweighs their concern for the dangers present.",
vayra_mirage_star,CUSTOM,"Mirage is a large, bright main sequence star nearing the end of its life. Its deep, warm yellow light has a tendency to wash out detail, especially when filtered through the densely packed Seraphim asteroids which keep its relatively close-orbiting second and third planets within human-survivable temperature ranges.",,"Mirage is a large, bright main sequence star nearing the end of its life. Its deep, warm yellow light has a tendency to wash out detail, especially when filtered through the densely packed Seraphim asteroids which keep its relatively close-orbiting second and third planets within human-survivable temperature ranges.",
vayra_oasis,CUSTOM,"Oasis, the jewel of Mirage, was almost completely terraformed by the time of the Collapse; a rare occurrence in the sector. While uncomfortably hot and humid, the climate is survivable by unprotected humans and the atmosphere is breathable provided one has received the necessary immunizations. Vegetation grows thick and rich across every exposed scrap of land, kept at bay by periodic slash-and-burn campaigns by the populace.",,"Oasis, the jewel of Mirage, was almost completely terraformed by the time of the Collapse; a rare occurrence in the sector. While uncomfortably hot and humid, the climate is survivable by unprotected humans and the atmosphere is breathable provided one has received the necessary immunizations. Vegetation grows thick and rich across every exposed scrap of land, kept at bay by periodic slash-and-burn campaigns by the populace.",
vayra_requiem,CUSTOM,"A gargantuan, ancient fortification dating back to the earliest Domain colonization efforts in the sector. Habitat pods and jury-rigged expansions form a patchwork over the outer hull, obscuring many of the sensor domes, docking spires, and imposing heavy weapons emplacements it originally bristled with - though more than enough of the latter remain to deter any possible assault.",,"A gargantuan, ancient fortification dating back to the earliest Domain colonization efforts in the sector. Habitat pods and jury-rigged expansions form a patchwork over the outer hull, obscuring many of the sensor domes, docking spires, and imposing heavy weapons emplacements it originally bristled with - though more than enough of the latter remain to deter any possible assault.",
