id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,,,,,,,,,,,,,,,
mininglaser,beam,40,0.25,,"[175,155,0]",,,,,,,,,,,1,TRUE
pdlaser,beam,35,0.45,,"[175,125,0]",,110,0.25,,"[155,10,10]",55,0.25,,"[155,10,10]",,1,TRUE
taclaser,beam,45,0.45,,"[100,100,225]",,130,0.25,,"[10,245,10]",65,0.25,,"[10,245,10]",,1,TRUE
lrpdlaser,beam,35,0.4,,"[200,125,20]",,105,0.2,,"[200,100,10]",55,0.2,,"[200,100,10]",,1,TRUE
pdburst,beam,50,0.85,,"[0,0,175]",,155,0.45,,"[10,10,155]",,,,,,1,TRUE
phasebeam,beam,70,1.05,,"[105,0,255]",,210,0.5,,"[125,10,155]",105,0.5,,"[125,10,155]",,1,TRUE
gravitonbeam,beam,65,0.4,,"[75,175,55]",,200,0.2,,"[10,130,175]",100,0.2,,"[10,130,175]",,1,TRUE
heavyburst,beam,85,0.7,,"[50,50,205]",,260,0.35,,"[10,10,155]",,,,,,1,TRUE
ionbeam,beam,35,0.9,,"[25,200,245]",,100,0.45,,"[25,125,175]",50,0.45,,"[25,125,175]",,1,TRUE
hil,beam,65,0.65,,"[245,55,15]",,190,0.35,,"[20,70,155]",95,0.35,,"[20,70,155]",,1,TRUE
guardian,beam,15,0.95,,"[100,100,255]",,45,0.45,,"[130,75,75]",,,,,,1,TRUE
tachyonlance,beam,90,1.2,,"[110,25,255]",,275,0.6,,"[85,25,215]",135,0.6,,"[85,25,215]",,1,TRUE
