name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fidem,fidem,Heavy Frigate,Luddic Church,ammofeed,8,2550,575,2700,2188,165,55,1,120,110,90,40,80,300,OMNI,,120,0.4,1.2,,,60,80,165,25,1,25,9,27500,3,12,240,0.25,8,8,,,,,,,,"LC_bp, merc",,0.4,2,2,,219
Lector,lector,Destroyer,Luddic Church,ammofeed,8,6000,900,2000,3333,250,70,,120,100,90,60,90,350,PHASE,le_damper,,,,0.06,0.06,40,60,80,45,3,15,9,29000,5,6,540,0.25,7,7,,,,,,,,"LC_bp, merc",,0.2,2,3,,303
Fasces,fasces,Heavy Destroyer,Luddic Church,le_surge,15,6200,650,4000,3333,200,110,,50,38,17,30,20,500,OMNI,,120,0.4,1.2,,,95,115,90,40,3,12,9,41000,3,12,420,0.25,12,12,,,,,,,,"LC_bp, merc",,0.4,2,3,,303
Christopher,christopher,Heavy Cruiser,Luddic Church,ammofeed,15,10000,1350,9000,9000,325,140,1,45,30,15,16,16,1850,FRONT,,180,0.5,1,,,185,250,100,100,5,20,8,120000,3,12,540,0.25,15,15,,,,,,,,"LC_bp, merc",,0.4,2,3,,404
Sebastian,sebastian,Heavy Combat Carrier,Luddic Church,le_surge,25,14000,1500,8000,9000,400,200,2,35,25,15,12,12,2250,FRONT,,120,0.5,1,,,300,350,100,100,5,20,8,165000,3,12,540,0.25,28,28,,,,,,,,"LC_bp, merc",,0.4,2,3,,404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermes (LP),hermes_pather,Modified Shuttle,Luddic Path,maneuveringjets,3,850,150,1500,1000,100,18,,125,90,80,90,120,125,FRONT,,120,0.5,1,,,2,10,50,15,0.5,30,9,4000,5,20,180,0.25,2,2,,,,,,,,LP_bp,,0.5,2,2,,203.5
Phaeton (LP),phaeton_lp,Modified Destroyer,Luddic Path,maneuveringjets,6,5000,350,2000,2500,150,90,1,50,30,20,25,15,400,OMNI,,90,0.5,1,,,60,80,20,100,2,50,8,26000,5,20,300,0.25,6,4,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",LP_bp,,0.75,3,4,,311.11
Nebule (LP),mule_lp_x,Modified Destroyer,Luddic Path,ammofeed,10,6850,650,3500,2500,250,65,,70,60,50,35,55,450,OMNI,,120,0.4,1,,,80,100,50,40,2,20,9,38000,5,20,360,0.25,9,9,,,,,,,,LP_bp,,0.5,2,3,,310
Venture (LP),venture_luddic_path,Modified Cruiser,Luddic Path,ammofeed,12,8500,800,7000,6000,300,140,1,40,15,10,12,6,1500,OMNI,,120,0.4,1,,,210,350,225,120,3,40,7,84000,5,10,540,0.25,15,15,,,,,,,,LP_bp,,0.4,2,3,,402.5
Starliner (LP),starliner_lp,Modified Cruiser,Luddic Path,fastmissileracks,10,5500,225,2500,2500,125,110,2,55,20,10,20,10,900,FRONT,,150,0.4,1,,,265,600,125,120,3,40,7,75000,3,20,480,0.25,15,15,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",LP_bp,,0.6,2,3,,409.11
Starliner (LP-X),starliner_lp_x,Modified Cruiser,Luddic Path,ammofeed,16,7500,625,8500,2500,375,130,,75,65,55,35,55,1100,OMNI,,120,0.4,1,,,185,235,20,90,3,30,8,90000,3,20,480,0.25,16,16,,,,,,,,LP_bp,,0.6,2,3,,409
