id,type,text1,text2,text3,notes
# SHIPS SHIPS SHIPS,,,,,
hermes_pather,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary furnishing and transforming it into a haphazard vehicle of holy war.

The Hermes is a small, dependable cargo hauler often converted for transport duty among poor frontier worlds. Its crew and passenger facilities are charitably described as ""robust"" but it manages to get the job done with remarkable consistency despite the primitive maintenance facilities it frequents.

Factory-spec, the Hermes is armed only for ""active collision avoidance"", but its turret system is often upgraded to achieve nearly full albeit light point-defense coverage that can destroy the stray missile while escaping from active combat zones. This Luddic Pather modification, however, strips out most of the cargo and crew space and small weapon mounts in favour of a medium hound-scavanged ballistic hardpoint, along with overcharged engines to quickly leap in, strike, and leap out again. While usually manned by the desperate or the mad, some truly legendary Martyrs started their lives as a Hermes captain.",,,
mule_lp_x,SHIP,"This ramshackle vessel is assembled from a Nebula and a Mule by Pathers. With the cargo compartments removed and replaced with weaponry, hull reinforcement, and overtuned engines, this ship is incredibly fast and packs a mighty punch. However it is noticeably fragile, unsurprising given its uneven construction. This however does not deter the most Faithful of the Path who desire a Martyrs death, something this ship is almost guaranteed to give.",,,
venture_luddic_path,SHIP,"A Venture that has been altered by Luddic fanatics, this ship has had the cargo bay replaced with a large ballistic mount and additionally smaller mounts. This additon of ordinance has compromised the internal structure of the vessel, which is further strained by the overdriven engines and enhanced flux systems, however despite these changes this vessel is surprisingly sturdy.

Tough, dependable and not overly expensive, Venture-class cruisers are usually constructed by private corporations for escort duty or by small non-aligned worlds for system defense.

The Venture-class ships are perhaps the most widely used civilian cruisers in the Sector. The blueprints for the Venture are widely available and can often be secured without too much trouble. 

When used by small corporations, the ship is usually the pride of the fleet and is used to underpin vital operations. Due to its ubiquity, the vessel also serves with quite a few pirate outfits, where it sometimes fills the role of command ship.",,,
phaeton_lp,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary furnishing and transforming it into a haphazard vehicle of holy war.

Typically a medium tanker is left a smoking ruin in the wake of the Luddic Path. Sometimes, however, the hulls are stolen away, and completely remade. Now it forms sa flexible, if fragile destroyer, able to attack at range with its missile armament, or demolish foes up close with its large ballistic.",,,
starliner_lp,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary furnishing and transforming it into a haphazard vehicle of holy war.

Originally a symbol of Man's folly in conquering the universe with forbidden technology, this ship has been completely remade into a ramshackle support vessel. Wide crew decks and promenades have been stripped out and replaced with weapons, fighter autofactories and marine boarding facilities. With an incredibly strong missile complement and a flight deck, this ship has an ample range of tactical flexibility - however it's lackluster hull integrity is an issue.",,,
starliner_lp_x,SHIP,"A Starliner modified by the Luddic Path, this vessel replaces the decadent crew compartments with hull reinforcement, weapons, engines and superior flux infrastructure to fight the followers of Moloch. Surprisingly nimble for its size and packed with weaponry, the craft is also fragile in the face of withering fire. A feared vessel, this overtuned cruiser can crush any diabolical vessel smaller than it, but tends to turn its crew into Martyrs when encountering larger enemies.",,,
eagle_le_lp,SHIP,"Almost unrecognisable from the original Eagle, this practically scrapped cruiser has had large portions of the structure removed and replaced with ballistic mounts. While the ship has been drastically down-armoured, the vent management system has been maintained  (albeit poorly), and additional engines have been crudely added. An incredibly dangerous weapon of Holy War (both to its crew and its enemies), this Luddic vessel is blisteringly quick and startlingly resilient.

Eagle-class cruisers are often found at the core of military fleets headed for battle. It is not hard to see why: A strong overall profile, with a robust engine, the Eagle's deadly weapons package is a threat to all enemies.

The Eagle can deliver a strong tactical punch to enemy formations. Its numerous turret and hardpoint emplacements make it very dangerous to smaller foes. Decent armor and a strong shield emitter let it hold space while outnumbered, or even when faced with the rare larger ship. 

These strengths are somewhat countered by strike craft - an Eagle captain must always watch their scopes for an approaching strike squadron, since their ship will be easily crippled by multiple hits from modern strike weapons. 

The embodiment of the sleek and powerful space cruiser from the time of the Domain, the Eagle-class ships are a beautiful reminder of the technological and aesthetic achievements of humanity's past. ",,,
le_prometheus3,SHIP,"The fanatical Pathers have discovered an ironic sense of justice in converting the tanker which carries what they call 'Infernium' - AM fuel - into a hulking implement of holy war. Unlike the Prometheus Mk II. occassionally seen in Luddic Path fleets, this derivative still has most of its pre-existing civilian infrastructure intact. Instead, a makeshift ship factory has been installed in the now cored-out main fuel tank. It is from this drydock that a ramshackle suicide ship laden with explosives can be flown out of to bring the Divine Retribution of the Light of Ludd to the servants of Moloch, granting salvation in complete annhiliation.",,,
lp_dram_missile,SHIP,"A stripped-back Dram hull filled with explosives, this improvised suicide vessel can cripple stations and fleet vessels if it can make contact. However, its ramshackle construction lacks structural stability and the vessel can be disabled by withering firepower.",,,
