id,type,text1,text2,text3,text4,notes
mod_kernera,SHIP,"The Kernera-class is a dedicated long-range missile support cruiser. Its two large missile hardpoints offer substantial firepower, while its decent mobility allows it to effectively disengage from most ships that outgun it. Its main weakness lies in its inability to effectively engage frigates and destroyers, rendering it very vulnerable if unsupported.",,,,
mod_aposeris,SHIP,"In order to reduce the possibility of strikecraft pilot shortages and mitigate its severity, a new missile destroyer based on the Drover-class light carrier hull was developed. Its pilot quarters and fighter hangars were replaced by missile racks and autoloaders wihle the launch bays gave way to twin large missile hardpoints. Additionally, the hull was narrowed and engines upgraded, increasing the top speed of the vessel.",,,,
mod_carnage,SHIP,"The Carnage-class battleship is a relatively modern design meant to bridge the gap between fast modern cruisers and older, larger capital ships like the Conquest-class. Sporting a quad large composite battery, the Carnage-class vessels offer unmatched versatility on the battlefield.",,,,
mod_zeal,SHIP,"The Zeal-class was designed as a direct upgrade to the Vigilance-class in order to bring adequate frigate-based missile support to mid-tech fleets. The main change between the two frigates is a double medium missile battery on the Zeal-class, which effectively doubled the firepower of the Vigilance-class. During development, the new Zeal-class vessels were deemed to possess inadequate mobility to effectively pursue and disengage, which led to the decision to use the remaining machinery compartment space for additional engine upgrades instead of fast missile racks as was the case on the Vigilance-class.",,,,
mod_ardor,SHIP,"Originally developed as a successor to the Aurora-class high-tech cruisers, the Ardor-class boasts increased versatility and firepower with few, if any, downsides.",,,,
mod_eventide,SHIP,"The Eventide-class is essentially a streamlined version of the Apogee-class, sporting twin front-facing large energy hardpoints instead of a missle launcher. Perigee-class cruisers are fast, versatile and well-armed ships that can take punishment as well as dish it out.",,,,
mod_vertex,SHIP,"The Vertex-class heavy cruiser is characterized by overwhelming firepower in a relatively compact package. These ships have the ability to obliterate anything smaller than themselves, while remaining fast enough to effectively disengage from most better-armed ships.",,,,
mod_ichor,SHIP,Ichor-class cruisers are highly versatile and very well-armed vessels that can go toe-to-toe with most threats in the sector.,,,,
mod_atomizer,SHIP,"While the Eradicator-class was able to fulfill its role as a fast cruiser, it lacked sufficient staying power in large engagements, leading to the development of the Atomizer. These cruisers had an improved reactor core, an additional large ballistic weapon mount and were able to be outfitted as makeshift missile support ships if the mission required it. Although the initial prototypes proved unacceptably slow, this was later rectified with a significant engine upgrade, allowing them to keep up with lighter Eradicators, albeit at a higher fuel and maintenance cost.

Post-Collapse, the Atomizer-class again sees active service in the sector's naval forces, mostly as a reliable and dependable option for a frontline combat vessel.",,,,
mod_instigator,SHIP,"Although not as well armed as the feared Onslaught-class, the Instigator-class battleships offer heavier armor, better maneuvrability and overall greater versatility, both on the battlefield, as well as off it.",,,,
