id,trigger,conditions,script,text,options,notes
ExerelinNGCListOcua,ExerelinNGCListFactions3,,,,exerelinNGCJoinOcua:Oculian Armada,
ExerelinNGCJoinOcua,NewGameOptionSelected,$option == exerelinNGCJoinOcua,"$playerFaction = oculus
FireBest ExerelinNGCJoinFaction",,,
ExerelinFactionDirectoryListOcua,ExerelinFactionDirectoryList3,$directoryFactions:ocua,,,exerelinFactionDirectoryGetOcua:Oculian Armada,
ExerelinFactionDirectoryGetOcua,DialogOptionSelected,$option == exerelinFactionDirectoryGetOcua,"$_directoryFaction = ocua 0
FireBest ExerelinFactionDirectorySubmit",,,
,,,,,,
,,,,,,
# Trade panel flavor text,,,,,,
flavorTextMarketOcua_Small,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ocua
$marketSize <= 4
$market.id != ocua_atalie3","AddText ""Few red-tinted ships arrive in this port, some pirates and others of Oculian origin. This area appears to be merely industrial as no one but an amassed swarm of drones appear to be working in the scene. Upon disembarking, you see nothing but a pristine plastic flooring and some machinery here and there."" marketFlavorTextColor
AddText ""An Oculian sister reluctantly shows and approaches you, confused to why such an admiral would come aboard this rather empty facility."" marketFlavorTextColor",,,
flavorTextMarketOcua,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ocua
$marketSize >= 5
$market.id != ocua_atalie3","AddText ""The port concourse is filled with bulbous red hulls of every size. Cargo containers packed with large glass tubes containing embryos are loaded into the implicated Storkis time-vessels for crew growth, as scarred variants returned with fully grown battalions walking out into the deck. Dumbfounded by the concept, you look away."" marketFlavorTextColor
AddText ""An Oculian sister approaches you with a calm greeting as she reaches her datapad for you to oversee their market line."" marketFlavorTextColor",,,
flavorTextMarketOcua_Adalie,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == ocua
$market.id == ocua_atalie3","AddText ""Beneath the tundra layer is more than meets the eye, an underground industrial complex capable of housing multiple capital ships. Pink-tinted Oculian sisters are seen very often in these parts, while human ship captains appear to be calm and reserved as they offload with regular sisters monitor the site. A sweet, roasted aroma immediately enters your senses while you disembark, as fleets of transport vehicles unload their products into the spaceborne vessels for export."" marketFlavorTextColor
AddText ""This is definitely a bakery."" marketFlavorTextColor
AddText ""An Oculian sister with a holo-highlight 'Mikanate' approaches you with a stern gesture, preparing her datapad as her drones oversee your crew."" marketFlavorTextColor",,,
,,,,,,
# relationship level descriptions,,,,,,
relLevelNeutralOcua,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == ocua",,"Your indifference towards the Oculians gives them an awkward overview to stay out of your way, unless provoked otherwise.",,
relLevelFavorableOcua,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == ocua",,Oculian privateers sigh in relief that another of their own flesh and blood such as yourself is another unique face to work alongside with.,,
relLevelWelcomingOcua,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == ocua",,"Oculian sisters tend to arrive in your doorstep with baked offerings and flowers, this either gives you ominous feeling unbeknownst to you or simply a kind gesture of your efforts in the armada.",,
relLevelFriendlyOcua,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == ocua",,Your reputation with the unlikely bakery collective has been well-known even to the Arc Mother. Offering full-time services to them will grant you their experiemental arsenal or a weird coupon of some exclusive cookie assortments that you simply turn down in suspicion.,,
