name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Oculian Integral Conduits,CHM_ocua,,,Oculian,,,,,TRUE,,0,0,0,0,data.hullmods.CHM_ocua,"Oculian drones have manifested this ship as a host and provided several improvements over its flux conduit design.

Increases flux efficiency on all Energy Weapons by %s, depending on hull size, and reduces Shield Upkeep costs by %s.",Provides Energy weapon efficiency and a more stable shield.,,graphics/Oculian Armada/hullmods/ocua_oculus.png
,,,,,,,,,,,,,,,,,,,
Oculian Chemical Core,ocua_core_chemical,0,,Oculian,"req_spaceport, special, offensive, oculian","Weapons, Special, Requires Dock",,TRUE,,,4,8,12,20,data.hullmods.ocua_core_chemical,"Embeds the Oculian power core with a Chemical configuration that forces Energy Weapons to draw directly to physical reserves, but costing a sizable loss of efficiency.",Boost energy weapon damage at a cost of increased maintenance and significant repair costs and a more painful death.,,graphics/Oculian Armada/hullmods/ocua_core_orange.png
Oculian Crystalline Core,ocua_core_crystalline,2,,Oculian,"req_spaceport, special, defensive, oculian","Shields, Special, Requires Dock",7500,,,,6,12,18,30,data.hullmods.ocua_core_crystalline,Embeds the Oculian power core with a Crystalline configuration that diverts a majority of its energy systems directly to shields and targeting systems.,Increases shield damage resistance and energy weapon range at a cost of mobility.,,graphics/Oculian Armada/hullmods/ocua_core_green.png
Oculian Pulse Core,ocua_core_pulse,1,,Oculian,"req_spaceport, special, engines, offensive, oculian","Engines, Special, Requires Dock",7500,,,,10,20,30,50,data.hullmods.ocua_core_pulse,"Embeds the Oculian power core with a Pulse configuration that overrides all Ionic engine protocols and overcharges power systems, subsequently putting stress to ship's primary systems.","Sheds peak time, gains speed. A lot of speed.",,graphics/Oculian Armada/hullmods/ocua_core_red.png
Oculian Quantix Core,ocua_core_quantix,3,,Oculian,"req_spaceport, special, oculian","Fighters, Special, Requires Dock",7500,,,,4,8,12,20,data.hullmods.ocua_core_quantix,"Embeds the Oculian power core with a Quantix configuration, diverting major supplies and power directly to assembly matrices and command computers.","Overdrives fighter assemblies, reducing peak readiness per deck.",,graphics/Oculian Armada/hullmods/ocua_core_purple.png
Oculian Vapor Core,ocua_core_vapor,0,,Oculian,"req_spaceport, special, oculian","Special, Requires Dock",,TRUE,,,12,24,42,60,data.hullmods.ocua_core_vapor,"Embeds the Oculian power core with a Vapor configuration, slowing ion reactor processing and tightening emission limits, lowering energy values significantly.",Permanently lowers ship combat effectiveness for increased efficiency and lower detection rate.,,graphics/Oculian Armada/hullmods/ocua_core_faded.png
Oculian Catalyst Core,ocua_core_catalyst,0,,Oculian,"req_spaceport, special, oculian","Special, Requires Dock",,TRUE,,,2,4,6,10,data.hullmods.ocua_core_catalyst,"Embeds a subroutine in the Oculian Mikanate core, where it awaits a primary %s to be installed into the ship which amplifies its characteristics. Counts as a Core configuration and does absolutely nothing on its own.",This tea tastes lovely.,,graphics/Oculian Armada/hullmods/ocua_core_mi_catalyst.png
Mikanate Override,ocua_core_override_mi,3,,Oculian,"no_drop, req_spaceport, special, oculian","Special, Requires Dock",100000,,,,5,10,15,25,data.hullmods.ocua_core_override_mi,"A permission subroutine and makeshift conversion of the standard Oculian core, allowing acceptance of %s similar to the defaulted Mikanate conversions.

Cannot be removed once a Dual Mikanate configuration is installed. Purposely built-in single cores will merge normally if another core is being installed.","Wait, this isn't coffee.",,graphics/Oculian Armada/hullmods/ocua_core_override_mi.png
Kitted Gretly Buster,ocua_gretly_explosion,0,,Oculian,"special, offensive, merc, oculian",Special,,TRUE,,,0,0,0,0,data.hullmods.ocua_gretly_explosion,"This vessel is fitted with explosive subsystems that detonate upon destruction. Totalling the explosive yield at %s with a %s larger radius than a normal frigate. Can only be equipped on a %s class frigate.

%s",Makes Gretly go bigger boom.,,graphics/Oculian Armada/hullmods/ocua_overrides.png
