name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Breeze,ocua_breeze,,Oculian,,,100,,100,,25,,,250,250,320,120,270,5,OMNI,,120,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410000
Breeze Mikanate,ocua_breeze_mi,,Mikanate,,,150,,150,,35,,,250,250,320,120,270,5,OMNI,,120,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410000.01
Breeze Elite,ocua_breeze_elite,,Oculian,,,120,40,150,,50,,,275,275,320,120,300,5,OMNI,,120,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410000.1
Breeze Superelite,ocua_breeze_elite_mi,,Mikanate,,,180,60,200,,75,,,275,275,320,120,300,5,OMNI,,120,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410000.11
Cancer,ocua_cancer,,Oculian,,,60,,100,,40,0,,225,300,300,150,240,10,OMNI,,90,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410001
Cancer Elite,ocua_cancer_elite,,Oculian,,,120,,200,,60,0,,200,215,270,150,240,20,OMNI,,90,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410001.01
Cancer Mikanate,ocua_cancer_mi,,Mikanate,,,200,,300,,90,0,,200,215,270,150,240,25,OMNI,,90,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410001.1
Kaleido,ocua_kaleido,,Oculian,,,100,150,300,,70,0,,150,180,210,120,180,30,FRONT,,360,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410002
Kaleido Elite,ocua_kaleido_elite,,Oculian,,,125,225,500,,120,0,,150,180,210,120,180,40,FRONT,,360,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410002.01
Kaleido Mikanate,ocua_kaleido_mi,,Mikanate,,,125,250,600,,120,0,,180,180,210,150,240,40,FRONT,,360,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410002.01
Mollusc Drone,ocua_mollusc,,Oculian,,,50,200,200,,50,,,400,800,800,360,720,50,FRONT,,180,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410010
Mollusc Drone (Mi),ocua_mollusc_mi,,Mikanate,,,100,250,300,,75,,,480,1000,1000,360,960,50,FRONT,,150,0,0.85,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410010.1
Tick,ocua_tick,,Oculian,,,150,100,200,,50,0,,200,250,240,120,200,50,OMNI,,150,0,0.9,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,410020
