id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
ocua_breeze_basic_wing,ocua_breeze_basic,"fighter0, interceptor, low, ocua, ocua_basic_bp, auto_fighter",0,,3,4,CLAW,4000,300,300,4,INTERCEPTOR,Interceptor Drone,6,1500,,,,,,,,,,,,,1
ocua_breeze_basic_h_wing,ocua_breeze_h_basic,"fighter1, interceptor, low, ocua, rare_bp, auto_fighter",0,0.5,3,9,BOX,4000,300,300,6,INTERCEPTOR,(H) Interceptor Drone,4,3000,,,,,,,,,,,,,2
ocua_breeze_mi_wing,ocua_breeze_mi,"fighter2, interceptor, mid, ocua, rare_bp, auto_fighter, ocua_mikanate",2,,5,14,CLAW,4000,400,300,4,INTERCEPTOR,Interceptor Drone,8,5000,,,,,,,,,,,,,3
ocua_breeze_mi_h_wing,ocua_breeze_h_mi,"fighter3, interceptor, mid, ocua, rare_bp, auto_fighter, ocua_mikanate",2,0.5,5,20,BOX,4000,400,300,6,INTERCEPTOR,(H) Interceptor Drone,6,9000,,,,,,,,,,,,,4
ocua_breeze_mi_built_wing,ocua_breeze_mi,"fighter2, interceptor, mid, ocua, no_drop, no_sell, auto_fighter, ocua_mikanate, restricted",4,,5,8,BOX,4000,400,300,2,INTERCEPTOR,Interceptor Drone,8,1000,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocua_breeze_elite_wing,ocua_breeze_elite,"fighter0, fighter, low, ocua, ocua_basic_bp, auto_fighter",1,,4,7,V,2000,200,300,3,FIGHTER,Fighter Drone,10,2000,,,,,,,,,,,,,6
ocua_breeze_elite_mi_wing,ocua_breeze_elite_mi,"fighter1, fighter, high, ocua, rare_bp, auto_fighter, ocua_mikanate",3,,6,16,V,2000,200,300,3,FIGHTER,Fighter Drone,12,7500,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocua_tick_wing,ocua_tick_basic,"fighter2, fighter, low, ocua, ocua_basic_bp",0,,5,7,V,2000,300,400,2,FIGHTER,Fighter,16,8000,,,,,,,,,,,,,8
ocua_tick_elite_wing,ocua_tick_elite,"fighter3, fighter, mid, ocua, ocua_general_bp",2,,7,12,V,2000,300,400,1,FIGHTER,Fighter,20,12000,,,,,,,,,,,,,9
ocua_tick_mi_wing,ocua_tick_mi,"fighter4, fighter, high, ocua, rare_bp, ocua_mikanate",3,,10,22,V,2000,400,400,1,FIGHTER,Fighter,24,30000,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocua_kaleido_wing,ocua_kaleido_basic,"fighter1, fighter, low, ocua, ocua_basic_bp, auto_fighter",0,,5,8,CLAW,2000,400,500,3,FIGHTER,Escort Drone,12,8000,,,,,,,,,,,,,11
ocua_kaleido_elite_wing,ocua_kaleido_elite,"fighter2, fighter, mid, ocua, ocua_general_bp, auto_fighter,",2,,6,13,CLAW,2000,400,500,2,FIGHTER,Escort Drone,18,15000,,,,,,,,,,,,,12
ocua_kaleido_mi_wing,ocua_kaleido_mi,"fighter3, fighter, mid, ocua, ocua_mi_general_bp, auto_fighter, ocua_mikanate",2,,6,24,CLAW,2000,400,500,2,FIGHTER,Escort Drone,24,15000,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
ocua_cancer_wing,ocua_cancer_basic,"bomber2, bomber, low, ocua, ocua_basic_bp, auto_fighter",0,,5,9,BOX,4000,2000,600,3,BOMBER,Bomber Drone,12,8000,,,,,,,,,,,,,15
ocua_cancer_elite_wing,ocua_cancer_elite,"bomber3, bomber, mid, ocua, ocua_general_bp, auto_fighter",2,,7,14,BOX,4000,2000,600,2,BOMBER,Bomber Drone,16,12000,,,,,,,,,,,,,16
ocua_cancer_mi_wing,ocua_cancer_mi,"bomber4, bomber, high, ocua, rare_bp, auto_fighter, ocua_mikanate",3,,8,20,BOX,4000,2000,600,2,BOMBER,Bomber Drone,20,20000,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocua_loach_wing,ocua_loach,"fighter2, fighter, ocua, ocua_basic_bp, auto_fighter",1,,4,6,BOX,2000,200,300,3,FIGHTER,Fighter,12,3000,,,,,,,,,,,,,18
ocua_loach_mi_wing,ocua_loach_mi,"fighter3, fighter, ocua, rare_bp, auto_fighter, ocua_mikanate",3,,6,11,BOX,2000,200,300,3,FIGHTER,Fighter,18,10000,,,,,,,,,,,,,19
