name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,icon
Accelerated Energy Feed,ocua_energyfeed,,,,,,,,,,1,5,1,10,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Mad Man's Feed,ocua_madmansfeed,,,,,,,,,,1,5,1,10,,,TRUE,,,,,,,TRUE,graphics/icons/hullsys/ammo_feeder.png
Ion Burst Drive,ocua_ionburstdrive,1,,,,,,,3,0.1,0.75,0.5,0.25,5,,,,,,TRUE,TRUE,TRUE,,TRUE,graphics/icons/hullsys/burn_drive.png
Ion Pulse Drive,ocua_ionpulsedrive,1,,,,,,,3,0.25,0.25,0.25,0.25,3,,,,,,,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
Strikecraft Overclock,ocua_wingoverclock,,,,,,0.5,,,,0.5,10,0.5,5,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Temporal Overclock,ocua_temporaloverclock,1,,,,,0.33,,,,3,18,1,15,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Support Breezes,ocua_breeze_beatrix,,,,,,,,10,0.025,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Support Breezes,ocua_breeze_cucumber,,,,,,,,4,0.05,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Mollusc Drone,ocua_mollusc,,,,,,,,4,0.015,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Mollusc Drone,ocua_mollusc_x2,,,,,,,,8,0.025,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Mollusc Drone,ocua_mollusc_x4,,,,,,,,16,0.05,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Mollusc Drone,ocua_mollusc_x6,,,,,,,,24,0.1,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Mollusc Drone,ocua_mollusc_x8,,,,,,,,40,0.15,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Cucumber Drone,ocua_station_drone,,,,,,,,6,0.0056,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Breeze Drones,ocua_breeze,,,,,,,,4,0.0125,0,,0,0,,TRUE,,TRUE,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Breeze Drones,ocua_breeze_x2,,,,,,,,8,0.025,0,,0,0,,TRUE,,TRUE,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Breeze Swarm,ocua_breeze_x4,,,,,,,,16,0.05,0,,0,0,,TRUE,,TRUE,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Mikanate Molluscs,ocua_mollusc_mi,,,,,,,,4,0.0075,0,,0,0,,TRUE,,TRUE,,,,,,,graphics/icons/hullsys/drone_sensor.png
Mikanate Molluscs,ocua_mollusc_mi_x2,,,,,,,,8,0.0125,0,,0,0,,TRUE,,TRUE,,,,,,,graphics/icons/hullsys/drone_sensor.png
Mikanate Molluscs,ocua_mollusc_mi_x4,,,,,,,,16,0.025,0,,0,0,,TRUE,,TRUE,,,,,,,graphics/icons/hullsys/drone_sensor.png
