id,type,text1,text2,text3,notes
ocua_pirouette,WEAPON,"The smallest Laser-Canister weapon of its kind, the Pirouette is for those who require constant stream of projectiles with little footprint for firing reserves.

While nowhere near the damage potential of the Prima, the Piroutte is made due to its purpose of being an autocannon replacement for the Oculians as their resources for ballistics are used elsewhere, other than bullets.",Close Support,,
ocua_glint,WEAPON,"The basic weapon of every Oculian vessel, the Glint boasts great efficiency and accuracy through its miniscule damage output.

Not particularly a fond weapon to use, especially when there are more capable weapons that can clear out military devices that were hardened for many cycles, a foreign weapon from a particularly old but familiar age. Where it stands, though, it manages to compete with various point-defense equipment due to its precise capability of disarming missiles mid-flight with its ancient, but high-end emissions of light.",Point Defense,,
ocua_shiredain,WEAPON,"This alternative refit of the Antimatter blaster is made with impressive efficiency in mind, unloading less energy with more output in reserve. The Shiredain, as what the armada called, is adept at generating firing solutions in their compliment.

The Shiredain takes complexity off the original Antimatter blaster by trading in low energy costs and high ammunition capacity against the original's significant burst output. This integration is well-suited to Oculian crafts that produce less energy than that of traditional ships in the Sector; coupled by their high mobility, the Shiredain, when fired in groups, can be used to harass even the most prepared ships.

Very effective against any target.",Strike,,
ocua_fouette,WEAPON,"A solidly built Laser-Canister projector that trades off simplicity and efficiency over additional firepower.

Introduced by the Oculian Armada as their maintaining a foothold on Haelim along with the pirates assisting them against growing Tri-Tachyon advance, since none of the earlier energy devices were powerful enough to meet the military response.",Close Support,,
ocua_kea,WEAPON,"Composed of an intentionally fractured lens and a powerful battery charge, this weapon can generate a flash pulse so potent that it punches anything within the general direction of the barrel.

Also known as Flash cannons, as the name is scribed in the vein of flashlights, weapons like it would not be possible without breaking or, if not, recreate the laws of Physics through brutish computational power of the Oculian Armada. The Kea was one of the known earliest iterations of such technology, using a small ion core, radiating highly within a confines small tubular crystal. The energy is then expanded through the forementioned lens in a short, wild burst with such intensity that the lasers emitted could collide to solid objects with actual force.",Anti-Fighter,,
ocua_mi_frappe,WEAPON,"The advanced refinement of the Laser-Canister technology of the armada, this weapon has a very demanding calculation input but with a destructive return.

The first of its kind for the so-called Mikanate protocol the Oculian Armada had set up in the 200th Cycle, the Frappe is a powerhouse of a weapon that truly defy the laws of physics by having a greater damage output from a much smaller battery reserve.

While a powerful computer is still needed to calculate the ""perfect"" formula to generate the energy pulses, the laser weapon is easily accepted into any Oculian vessel that can compute the blockchain.",Close Support,,
ocua_shena,WEAPON,"An unconventional use of crystals as of means to disable electronic devices from afar. This basic projection battery is honed for its reliable discharge that would render ion weapons of its size redundant.

Speculations of an advanced quartz battery discharge were proven the moment weapons like the Shena classification were put to service by the Oculian armada. While not particularly as potent as true ion-based weaponry, the contents of its quartz crystals have achieved something very surreal about its otherwise unusuable properties in the heat of battle. Concentrated piezoelectric charges help contain the electromagnetic charge long enough to make through what would easily disperse an ionic pulse and even maintain its high frequency before meeting the target for the electromagnetic pulse.

A stuff that is very unreal to understand but from a maniacal AI that is capable of harnessing such a resource.",,,
,,,,,
ocua_prima,WEAPON,"The support compliment of every warship in red, Prima holds as a weak but accurate flow of energy that disrupts its unfortunate victims with its bizzare laser pulse technology.

One of the first integrated designs when the Oculian Armada appeared to the human sector. An outcry of low-emission energy weapons dispatched by self-proclaimed ""Arc Mother"", all thanks to unwitting remnants of the Domain wars.",Close Support,,
ocua_mi_stredia,WEAPON,"A powerful mid-range weapon that has the ability to charge a shot that throws its opponents in disarray, this Laser Canister cannon deceitfully portray its weaker sibling for an unexpected firing solution.

To simply put, this weapon has been modified to charge excessive power; an additional capacitor that is accompanied by the Prima's basic components at a more advanced, minituarized scale. Such new minituarization technology of Oculian electronics became more rampant when Adalie's research facility shown a greater heat signature as time passes.

Fit for more modern Oculian vessels that are still rarely seen in the current state of the sector. Though it is possible these may eventually become common. Especially when rumors about Tri-Tachyon suspected to develop new weapons or henious plots behind the scenes.",Close Support,,
ocua_pixie,WEAPON,"Easily described as the vagrant's plasma cannon, the Pixie is hailed as the most available method of unloading high-intensity masses with smallest amount of energy possible.

A laughable efficiency design that initially puts off to experienced gunners on its introduction. Its unaccounted rise in the Oculian arsenal made the aforementioned gunners into a fray. The Pixie plasma cannon is prized by most pirates whoever can install a moderate energy setup, as it does not overload power systems where the traditional Plasma cannon would have.",Assault,,
