name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Glint,ocua_glint,0,,175,450,120,,,0,120,3,,,,ENERGY,,175,0,0.8,0.2,,,,,,1000000,,,,,,,"PD,ANTI_FTR","pd7, beam7, SR, ocua_basic_bp, ocua_weapons_bp, ocua",,Oculian,,Point Defense,,,,,Beams deal %s more damage to missiles,150%,,,,410000
Shiredain,ocua_shiredain,1,0.5,700,550,,300,,20,40,5,50,,,ENERGY,225,,0.25,4,,,0,0,0,0,,1000,,,100,,,"STRIKE, USE_VS_FRIGATES","strike10, ocua",SR_strike_only,Oculian,,Strike,,,,,,,,,,410010
Pirouette,ocua_pirouette,0,,150,550,,30,5,3,35,2,,,,ENERGY,15,,0,0.5,1,,,,,,,1200,,,20,,,ANTI_FTR,"energy12, ocua_basic_bp, ocua, ocua_piro_wep",,Oculian,,General,,,,,,,,,,410021
Fouette,ocua_fouette,1,,300,550,,30,5,3,25,4,,,,ENERGY,25,,0,0.4,2,0.1,,,,,,1200,,,20,,,ANTI_FTR,"energy12, ocua_general_bp, ocua_weapons_bp, ocua, ocua_piro_wep",,Oculian,,General,,,,,,,,,,410022
Frappe,ocua_mi_frappe,3,0.5,1000,550,,40,5,3,25,8,,,,ENERGY,35,,0,0.3,3,0.1,,,,,,1200,,,20,,,ANTI_FTR,"energy12, ocua, ocua_mikanate, ocua_piro_wep",,Mikanate,,General,,,,,,,,,,410023
Kea,ocua_kea,2,,400,350,,45,,0,40,3,,,,ENERGY,30,,0.5,0.5,1,,30,45,1,5,,2000,,,,,,ANTI_FTR,"energy12, ocua_weapons_bp, ocua",,Oculian,,General,,,,,"Is not a true beam weapon, therefore cannot receive Beam enhancements.
Can receive standard Energy enhancements instead.",,,,,410030
Shena,ocua_shena,2,0.75,500,650,,160,100,5,40,4,,,,FRAGMENTATION,40,,0.1,0.9,,,0,5,0.5,5,,800,,,50,,,,"energy8, ocua_general_bp, ocua_weapons_bp, ocua",,Oculian,,Suppression,,,,,"Unshielded hits attempt %s chance to arc %s times, stops when successful %s.
Arcs deal %s EMP damage and %s base damage as Energy.",25% | 3 | once | full | 20%,,,,410040
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixie,ocua_pixie,0,,800,600,,260,,50,25,7,,,,ENERGY,130,,0.1,1.4,,,,,,,,600,,,,,,ANTI_FTR,"energy20, ocua_general_bp, ocua",,Oculian,,General,,,,,,,,,,410100
Prima,ocua_prima,1,,900,650,,80,,10,40,6,,,,ENERGY,50,,0.125,0.25,1,,,,,,,1600,,,,,,ANTI_FTR,"energy12, ocua_basic_bp, ocua",,Oculian,,General,,,,,,,,,,410101
