id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
# COMBAT,,,,,,,,,,,,,
helmsmanship,Helmsmanship,10,1,0,,"It sings when you push the mix just right, like, [humming]. Everything is right in the world, from the stars down to your bones. Coming off a shift, it’s like I just woke up. [laughing] Words can't tell it.","Nachiketa Portside Interview Project, Ep.3",TRUE,,,,graphics/icons/skills/helmsmanship.png,
combat_endurance,Combat Endurance,20,1,0,,"Through calamity, the Fourteenth endured. 
Through hegemony, the Domain endures. 
Through duty, humanity shall endure.","Admiral Kali Molina, the Declaration of Hegemony, c49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,
impact_mitigation,Armor Angling,30,2,0,,Pointing and rotating the ship in three dimensions to minimize oblique armor angle to incoming fire increases effective armor thickness.,"Tri-Tachyon Naval manual, chapter 3, “Defensive Maneuvers”.",TRUE,,,,graphics/icons/skills/impact_mitigation.png,
damage_control,Damage Control,40,2,0,,"Straight from the great forges of Kazeron, this ship is the very best of the League. And we shall treasure this gift, for it stands between our homes and those who would end our way of life.","Navarch Tethys, launching ceremony of the PLS Astelene Key",TRUE,,,,graphics/icons/skills/damage_control2.png,
field_modulation,Field Modulation,50,2,0,,Few have a talent for what I like to think of as 'active tuning'. I find musicians make the best fields officers.,"Ardis Soloman, leaked data submitted to COMSEC redaction algorithm",TRUE,,,active_defenses,graphics/icons/skills/field_modulation.png,
point_defense,Point Defense,60,3,0,,"Me, I don't take with them lasers and the like. Puts on a hell of a lightshow, ya'sure, but nothing stops incoming blips like the wall of DU from a good Vulcan matrix.","""Lower Deck Heroes"", a HEGCOM serial",TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
target_analysis,Weakpoint Familiarization,70,4,0,,Targeting where surface and citadel armor is flatter and thinner in three dimensions increases oblique impact angle and therefore decreases effective armor thickness.,"""On Space Combat, XXIIth ed."", from Domain Battlegroup XIV library ",TRUE,,,,graphics/icons/skills/target_analysis2.png,
ballistic_mastery,Ballistic Weapon Training,80,4,0,,Familiarization with common and exotic ballistic weapons alongside weapon maintenance and repair education and practice for all gunnery mechanics; ammunition storage and inspection instruction for munitions personnel.,Hegemony Navy Ballistic Weapon Logistics Manual ,TRUE,,,ballistic_weapons,graphics/icons/skills/ranged_specialization.png,
missile_specialization,Missile Weapon Training,100,5,4,2,My colleagues don’t appreciate their whimsy. You get all these little spaceships to break all the rules with because there's no need to survive the landing.,"Exit interview of K. Astraia, former ordnance designer, Culann Starforge",TRUE,,,missile_weapons,graphics/icons/skills/missile_specialization2.png,
