id,fitter,source,target,cost,time,reputation,commission
roider_nolasher_wayfarer,"roider_full, roider_argos",wayfarer,roider_nolasher,,0,0,FALSE
roider_jane_dram,"roider_full, roider_argos",dram,roider_jane,,0,1,FALSE
roider_jane_phaeton,"roider_full, roider_argos",phaeton,roider_jane,,0,1,FALSE
roider_condor_tarsus,"roider_full, roider_argos",tarsus,condor,,0,0,FALSE
roider_condor_firestorm,"roider_full, roider_argos",roider_firestorm,condor,,0,0,FALSE
roider_onager_mule,"roider_full, roider_argos",mule,roider_onager,,0,1,FALSE
roider_onager_mule_p,"roider_full, roider_argos",mule_d_pirates,roider_onager,,0,1,FALSE
roider_bombard_crig,"roider_full, roider_argos",crig,roider_bombard,,0,1,FALSE
roider_bombard_dominator,"roider_full, roider_argos",dominator,roider_bombard,,0,1,FALSE
roider_firestorm_tarsus,"roider_full, roider_argos",tarsus,roider_firestorm,,0,1,FALSE
roider_firestorm_condor,"roider_full, roider_argos",condor,roider_firestorm,,0,1,FALSE
roider_gambit_venture,roider_full,venture,roider_gambit,,0,2,FALSE
roider_colossus_2,roider_full,colossus,roider_colossus2,,0,1,FALSE
roider_colossus3_2,roider_full,colossus3,roider_colossus2,,0,1,FALSE
roider_argos_prometheus,roider_full,prometheus,roider_argos,,0,3,FALSE
roider_argos_prometheus2,roider_full,prometheus2,roider_argos,,0,3,FALSE
roider_roach_scarab,"roider_full, roider_argos",scarab,roider_roach,,0,2,TRUE
roider_aurochs_omen,"roider_full, roider_argos",omen,roider_aurochs,,0,2,TRUE
roider_cowboy_nebula,"roider_full, roider_argos",nebula,roider_cowboy,,0,2,TRUE
roider_ranch_starliner,roider_full,starliner,roider_ranch,,0,3,TRUE
roider_wrecker_eagle,roider_full,eagle,roider_wrecker,,0,3,TRUE
roider_wrecker_eagle_xiv,roider_full,eagle_xiv,roider_wrecker,,0,3,TRUE
roider_wrecker_falcon,roider_full,falcon,roider_wrecker,,0,3,TRUE
roider_wrecker_falcon_xiv,roider_full,falcon_xiv,roider_wrecker,,0,3,TRUE
roider_wrecker_falcon_p,roider_full,falcon_p,roider_wrecker,,0,3,TRUE
roider_telamon_atlas,roider_full,atlas,roider_telamon,,0,4,TRUE
roider_telamon_atlas2,roider_full,atlas2,roider_telamon,,0,4,TRUE
,,,,,,,
roider_cyclops_hermes,"roider_full, roider_light, roider_argos",hermes,roider_cyclops,,0,0,FALSE
roider_cyclops_cerberus,"roider_full, roider_light, roider_argos",cerberus,roider_cyclops,,0,0,FALSE
roider_kite_kiteO,"roider_full, roider_light, roider_argos",kite_orginal,kite,,0,0,FALSE
roider_pepperbox_mudskipper,"roider_full, roider_light, roider_argos",mudskipper,roider_pepperbox,,0,0,FALSE
roider_pepperbox_mudskipper2,"roider_full, roider_light, roider_argos",mudskipper2,roider_pepperbox,,0,0,FALSE
roider_aurochs_buffalo,"roider_full, roider_light, roider_argos",buffalo,roider_aurochs,,0,2,TRUE
roider_aurochs_buffalo2,"roider_full, roider_light, roider_argos",buffalo2,roider_aurochs,,0,2,TRUE
roider_aurochs_buffalo_a,"roider_full, roider_light, roider_argos",buffalo_hegemony,roider_aurochs,,0,2,TRUE
roider_colossus2_2,"roider_full, roider_light, roider_argos",colossus2,roider_colossus2,,0,1,FALSE
