id,type,text1,text2,text3,notes
# ships,,,,,
roider_drone_breaker,SHIP,"In the old days just a Blasting Laser on a basic drone chassis, the Rockpipers upgraded the Breaker into a hybrid combat/mining drone, equally adept at blasting rocks and ships.",,,
roider_hopskip2,SHIP,"A modified version of the notorious Hopskip shuttle, the Mk.II’s high speed and long range payload can make it difficult to intercept.",,,
roider_bolt,SHIP,"Composed of a cockpit and missile pod crammed between several engines, the Bolt reaches its target with lightning speed.",,,
roider_rocksaw,SHIP,"The thrilling firepower of the Rocksaw requires pilots be pried from the controls. Its chaingun, though mighty, can not fire continuously.",,,
roider_dragline,SHIP,"Inspired by the Xyphos and resembling an air-gunship, the Dragline is big and tough. Its turrets protect nearby ships from missiles while its own rockets rain upon the unwary.",,,
roider_duster,SHIP,"The Duster's turret and bombs, the latter stolen from Wasp blueprints, let it sweep aside fighter screens and missile barrages.",,,
roider_drone_tracker,SHIP,"Cheap, swarming PD drones with a weak, but high dissipation shield.",,,
roider_armature_left,SHIP,"Only the strongest PD grids can stop this tough and quick drone. Reports of its AI achieving ""uncanny"" torpedo hit rates hasn't prompted an official investigation. Yet.",,,
roider_armature,SHIP,"Only the strongest PD grids can stop these tough and quick drones. Reports of their AI achieving ""uncanny"" torpedo hit rates hasn't prompted an official investigation. Yet.",,,
,,,,,
roider_cyclops,SHIP,"The most common combat frigate of the Roider Union, the Cyclops-class's 360 degree turret coverage and all around good profile make it an excellent escort and skirmisher despite its flimsy hull.

Hacked together by the Korovin shipbreakers, mainly from Hermes-class shuttles, the Cyclops has proved its worth many times over. The design was overhauled and standardized by the Rockpiper Engineering Society just in time for the Kiska Incident.",,,
roider_pepperbox,SHIP,"Without the demands of a modular weapon system, fitting a Devastator Cannon instead, this Roider redesign of the Mudskipper Mk.II is a reliable PD boat. It even has a shield.",,,
