id,type,frame,magnitude,map,path
,,,,,
TADA_plasma,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_plasma_Normal.png
TADA_plasma,hardpoint,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_plasma_Normal.png
,,,,,
TADA_lightIonBeam,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_pinnace_lightIonBeam_NRM.png
TADA_pinnace_cover,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_pinnace_cover_NRM.png
TADA_pinnace_leftGun,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_pinnace_leftGun_NRM.png
TADA_pinnace_leftWing,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_pinnace_leftWing_NRM.png
TADA_pinnace_rightGun,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_pinnace_rightGun_NRM.png
TADA_pinnace_rightWing,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_pinnace_rightWing_NRM.png
,,,,,
TADA_LRA,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_LRA_turret_body_NRM.png
TADA_LRA,turretbarrel,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_LRA_turret_barrel_NRM.png
TADA_LRA,turretunder,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_LRA_turret_base_NRM.png
TADA_LRA,hardpoint,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_LRA_hardpoint_body_NRM.png
TADA_LRA,hardpointbarrel,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_LRA_hardpoint_barrel_NRM.png
TADA_LRA,hardpointunder,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_LRA_hardpoint_base_NRM.png
,,,,,
TADA_pike,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_spikeT_NRM.png
TADA_pike,turretbarrel,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_spikeTB_NRM.png
TADA_pike,hardpoint,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_spikeH_NRM.png
TADA_pike,hardpointbarrel,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_spikeHB_NRM.png
,,,,,
TADA_hammerStorm,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_hammerStorm_NRM.png
,,,,,
TADA_urchin,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_urchinT_NRM.png
TADA_urchin,turretbarrel,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_urchinTB_NRM.png
TADA_urchin,hardpoint,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_urchinH_NRM.png
TADA_urchin,hardpointbarrel,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_urchinHB_NRM.png
,,,,,
#TADA_lasherTT_skirtL,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_lasherTT_skirtL_Normal.png
#TADA_lasherTT_skirtR,turret,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/TADA_lasherTT_skirtR_Normal.png
,,,,,
TADA_dioscuri,turretbarrel,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_recoil_normal.png
TADA_dioscuri,turret,0,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_00_normal.png
TADA_dioscuri,turret,1,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_01_normal.png
TADA_dioscuri,turret,2,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_02_normal.png
TADA_dioscuri,turret,3,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_03_normal.png
TADA_dioscuri,turret,4,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_04_normal.png
TADA_dioscuri,turret,5,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_05_normal.png
TADA_dioscuri,turret,6,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_06_normal.png
TADA_dioscuri,turret,7,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_07_normal.png
TADA_dioscuri,turret,8,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriT_08_normal.png
TADA_dioscuri,hardpointbarrel,,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_recoil_normal.png
TADA_dioscuri,hardpoint,0,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_00_normal.png
TADA_dioscuri,hardpoint,1,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_01_normal.png
TADA_dioscuri,hardpoint,2,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_02_normal.png
TADA_dioscuri,hardpoint,3,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_03_normal.png
TADA_dioscuri,hardpoint,4,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_04_normal.png
TADA_dioscuri,hardpoint,5,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_05_normal.png
TADA_dioscuri,hardpoint,6,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_06_normal.png
TADA_dioscuri,hardpoint,7,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_07_normal.png
TADA_dioscuri,hardpoint,8,2,normal,graphics/TORCHSHIPS/maps/weapons_normals/dioscuri/TADA_dioscuriH_08_normal.png
,,,,,
,,,,,
,,,,,
,,,,,
TADA_crane,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_crane_Normal.png
TADA_crane_pirate,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_crane_pirate_Normal.png
TADA_attrition,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_attrition_Normal.png
TADA_bonnethead,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_bonnethead_Normal.png
TADA_bonnethead_pirate,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_bonnethead_pirate_Normal.png
TADA_bonnethead_pather,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_bonnethead_pather_Normal.png
TADA_tinnitus,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_tinnitus_Normal.png
TADA_tinnitus_xiv,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_tinnitus_Normal.png
TADA_tinnitus_plasma,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_tinnitus_Normal.png
TADA_tinnitus_p,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_tinnitus_Normal.png
TADA_challenger,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_challenger_Normal.png
TADA_challenger_pirate,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_challenger_Normal.png
TADA_challenger_pather,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_challenger_Normal.png
TADA_tempest_pirate,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_tempest_pirate_Normal.png
TADA_bully,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_bully_Normal.png
TADA_bully_pirate,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_bully_pirate_Normal.png
TADA_bully_pather,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_bully_pirate_Normal.png
TADA_foray,ship,,2,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_foray_Normal.png
TADA_foray_pirate,ship,,2,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_foray_pirate_Normal.png
TADA_foray_pather,ship,,2,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_foray_pirate_Normal.png
TADA_gunwall,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_gunwall_Normal.png
TADA_gunwall_XIV,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_gunwall_XIVth_Normal.png
