name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Jernau,TTE_jernau,Frigate,High Tech,displacer,10,1700,300,2250,,150,55,,150,130,100,60,120,200,OMNI,,150,0.4,1,,,15,30,50,20,1,20,10,12000,10,20,180,0.25,6,6,,,,,,,,hightech_bp,,0.5,2,2,,
Morat ,TTE_morat,Destroyer,High Tech,microburn,15,3800,550,5400,,350,85,,100,100,80,35,80,250,OMNI,,150,0.3,1,,,20,40,40,60,2,30,10,20000,5,15,300,0.25,9,9,,,,,,,,hightech_bp,,0.7,2,3,,
Gurgeh,TTE_gurgeh,Cruiser,High Tech,plasmajets,22,9000,900,11000,,800,165,,80,50,25,25,25,1800,OMNI,,180,0.5,1,,,75,200,150,90,3,30,8,200000,4,20,420,0.25,32,32,,,,,,,,hightech_bp,,0.6,2,3,,
Genar,TTE_genar,Light Cruiser,High Tech,microburn,18,6000,700,9000,,600,130,,95,100,80,30,60,650,OMNI,,180,0.3,1,,,60,120,60,80,3,27,9,115000,4,12,420,0.25,22,22,,,,,,,,hightech_bp,,0.7,2,3,,
Azadian,TTE_azadian,Battleship,High Tech,fortressshield,40,19000,1600,25000,,1250,375,2,30,15,10,5,5,3500,OMNI,,360,0.6,1,,,450,1000,300,300,10,30,7,500000,4,20,720,0.25,65,65,,,,,,,,hightech_bp,,0.6,2,4,,
Hofoen,TTE_hofoen,Battlecruiser,High Tech,microburn,38,10000,1000,15000,,1000,280,,70,50,40,8,12,2500,OMNI,,180,0.25,1,,,425,800,400,450,8,56,8,330000,4,20,600,0.25,48,48,,,,,,,,hightech_bp,,0.6,2,4,,
Atlastral,TTE_atlastral,Combat Freighter,High Tech,flarelauncher,16,9000,650,8000,,550,210,,25,10,6,6,6,6000,OMNI,,95,0.6,1,,,200,350,2000,200,6,67,7,175000,2,25,720,0.25,16,16,,,,,,,,hightech_bp,,0.7,2,4,,
Jandraligeli,TTE_jandraligeli,Combat Tanker,High Tech,microburn,14,5000,500,4200,,250,95,,90,60,40,30,60,400,OMNI,,300,0.4,1,,,80,100,250,550,2,30,8,40000,5,15,360,0.25,14,14,,,,,,,,hightech_bp,,0.5,2,3,,
Chamlis,TTE_chamlis,Combat Tanker,High Tech,maneuveringjets,8,1650,250,2100,,125,50,,100,80,100,60,110,250,OMNI,,170,0.4,1,,,25,40,90,200,1,20,9,12000,8,12,300,0.25,7,7,,,,,,,,hightech_bp,,0.4,2,2,,
Gelian,TTE_gelian,Logistics Support,High Tech,maneuveringjets,26,10000,1100,14000,,750,210,4,50,10,10,20,20,4000,OMNI,,120,0.5,1,,,350,750,500,550,10,45,8,200000,2,21,720,0.25,27,27,,,,,,,,hightech_bp,,0.6,2,3,,
Esperi,TTE_esperi,Combat Freighter,High Tech,displacer,8,2250,250,1600,,120,55,,120,105,70,55,90,300,OMNI,,180,0.4,1,,,25,50,125,40,1,40,9,14500,8,10,240,0.25,8,8,,,,,,,,hightech_bp,,0.5,2,2,,
Quietus,TTE_quietus,Combat Freighter,High Tech,microburn,13,6000,650,7250,,480,130,2,75,50,20,22,22,1400,OMNI,,150,0.5,1,,,95,125,750,60,4,15,8,75000,4,20,480,0.25,12,12,,,,,,,,hightech_bp,,0.6,2,3,,
Caconym,TTE_caconym,Hybrid Frigate,High Tech,plasmajets,7,1500,150,2250,,150,55,1,130,120,90,60,80,200,OMNI,,150,0.4,1,,,20,35,50,20,1,20,10,12000,10,20,180,0.25,6,6,,,,,,,,hightech_bp,,0.5,2,2,,
Gestra,TTE_gestra,Hybrid Destroyer,High Tech,reservewing,11,4500,350,4700,,280,85,2,90,55,25,35,30,400,OMNI,,150,0.4,1,,,60,120,250,70,2,35,9,36000,4,8,360,0.25,10,10,         ,,,,,,,hightech_bp,,0.6,2,3,,
Amorphia,TTE_amorphia,Hybrid Cruiser,High Tech,targetingfeed,18,8500,850,9500,,650,170,3,75,30,20,20,20,2000,OMNI,,160,0.4,1,,,220,310,100,60,4,25,8,165000,4,15,420,0.25,22,22,,,,,,,,hightech_bp,,0.4,2,3,,
Vavatch,TTE_vavatch,Tanker,High Tech,flarelauncher,3,500,180,1500,,100,30,,130,75,55,35,65,180,OMNI,,90,0.5,1,,,10,15,10,310,1,300,9,8200,9,20,180,0.25,3,3,,, ,,,,"CIVILIAN, TANKER",hightech_bp,,0.7,2,4,,
Lamm,TTE_lamm,Tanker,High Tech,flarelauncher,6,1600,300,2000,,150,55,,80,35,25,30,20,380,OMNI,,90,0.5,1,,,15,25,15,810,2,400,8,23000,6,20,300,0.25,5,5,,,,,,,"CIVILIAN, TANKER",hightech_bp,,0.75,3,4,,
Olmedreca,TTE_olmedreca,Tanker,High Tech,flarelauncher,12,9000,1000,7000,,300,135,,80,20,15,10,10,3600,OMNI,,180,0.5,1,,,55,110,150,3100,6,500,7,81000,3,20,720,0.25,12,12,,,,,,,"CIVILIAN, TANKER",hightech_bp,,0.75,3,5,,
