id,type,frame,magnitude,map,path
chaingun,turret,0,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base00_material.png
chaingun,turret,1,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base01_material.png
chaingun,turret,2,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base02_material.png
chaingun,turret,3,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base03_material.png
chaingun,turret,4,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base00_material.png
chaingun,turret,5,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base01_material.png
chaingun,turret,6,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base02_material.png
chaingun,turret,7,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base03_material.png
chaingun,turret,8,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base00_material.png
chaingun,turret,9,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base01_material.png
chaingun,turret,10,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base02_material.png
chaingun,turret,11,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base03_material.png
chaingun,turret,12,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base00_material.png
chaingun,turret,13,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base01_material.png
chaingun,turret,14,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base02_material.png
chaingun,turret,15,,material,graphics/URW/material/weapons/rotary/rotary_cannon_turret_base03_material.png
chaingun,hardpoint,0,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base00_material.png
chaingun,hardpoint,1,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base01_material.png
chaingun,hardpoint,2,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base02_material.png
chaingun,hardpoint,3,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base03_material.png
chaingun,hardpoint,4,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base00_material.png
chaingun,hardpoint,5,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base01_material.png
chaingun,hardpoint,6,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base02_material.png
chaingun,hardpoint,7,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base03_material.png
chaingun,hardpoint,8,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base00_material.png
chaingun,hardpoint,9,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base01_material.png
chaingun,hardpoint,10,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base02_material.png
chaingun,hardpoint,11,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base03_material.png
chaingun,hardpoint,12,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base00_material.png
chaingun,hardpoint,13,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base01_material.png
chaingun,hardpoint,14,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base02_material.png
chaingun,hardpoint,15,,material,graphics/URW/material/weapons/rotary/rotary_cannon_hardpoint_base03_material.png
multineedler,turret,0,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base00_material.png
multineedler,turret,1,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base01_material.png
multineedler,turret,2,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base02_material.png
multineedler,turret,3,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base03_material.png
multineedler,turret,4,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base00_material.png
multineedler,turret,5,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base01_material.png
multineedler,turret,6,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base02_material.png
multineedler,turret,7,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base03_material.png
multineedler,turret,8,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base00_material.png
multineedler,turret,9,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base01_material.png
multineedler,turret,10,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base02_material.png
multineedler,turret,11,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base03_material.png
multineedler,turret,12,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base00_material.png
multineedler,turret,13,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base01_material.png
multineedler,turret,14,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base02_material.png
multineedler,turret,15,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base03_material.png
multineedler,turret,16,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base00_material.png
multineedler,turret,17,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base01_material.png
multineedler,turret,18,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base02_material.png
multineedler,turret,19,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base03_material.png
multineedler,turret,20,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base00_material.png
multineedler,turret,21,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base01_material.png
multineedler,turret,22,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base02_material.png
multineedler,turret,23,,material,graphics/URW/material/weapons/storm/flechette_storm_turret_base03_material.png
