name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Thumper,shredder,0,,700,700,,100,,1,25,7,60,5,20,FRAGMENTATION,30,,0.15,0.40,20,0.05,0,7,1,20,,800,,,30,,,,"kinetic8, base_bp",,,,General,,,,,,,,,,3.8
#Thumper,shredder,0,,700,700,,100,,1,25,7,60,5,20,FRAGMENTATION,30,,0,0.55,20,0.05,0,7,1,20,,800,,,30,,,,"kinetic8, base_bp",,,,General,,,,,,,,,,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Chaingun,chaingun,1,,1000,450,,75,,3,30,10,,,,HIGH_EXPLOSIVE,60,,0.1,0.15,9999,0.15,0,20,1,10,,800,,,30,,,,"he15, SR, lowtech_bp, midline_bp, merc",,,,Anti Armor,,,,,,,,,,4.5
#Assault Chaingun,chaingun,1,,1000,450,,75,,3,30,10,,,,HIGH_EXPLOSIVE,60,,0,0.15,1,,0,20,1,10,,800,,,30,,,,"he15, SR, lowtech_bp, midline_bp, merc",,,,Anti Armor,,,,,,,,,,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Needler,multineedler,3,0.4,6500,700,,50,,20,15,28,,,,KINETIC,35,,0.2,0,9999,0.1,10,10,10,10,,1200,,,20,,,,"kinetic19, remnant, rare_bp, hist1t, merc",,,,Anti Shield,,,,,,,,,,8.5
#Storm Needler,multineedler,3,0.4,6500,700,,50,,20,15,28,,,,KINETIC,35,,0,0.1,1,,10,10,10,10,,1200,,,20,,,,"kinetic19, remnant, rare_bp, hist1t, merc",,,,Anti Shield,,,,,,,,,,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion Pulser,ionpulser,2,0.6,2250,500,,90,600,0,20,11,20,2,3,ENERGY,100,,0.1,0,3,0.1,3,20,1,4,,1000,,,,,,,"energy13, rare_bp, merc",,,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,22.75
#Ion Pulser,ionpulser,2,0.6,2250,500,,90,600,0,20,11,20,2,3,ENERGY,100,,0.05,0.05,3,0.1,3,20,1,4,,1000,,,,,,,"energy13, rare_bp, merc",,,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,22.75
