bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,maximumFleetFP,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
vayra_warlord_bounty,30,spaceAdmiral,Arpad,Zoltan,aggressive,Hegemony Heavy Detachment,Warlord,MALE,hegemony,graphics/portraits/portrait_hegemony05.png,"""Ah, I see you've found me at last, Diktat vultures and rats. I will not be such easy prey as you are used to hunting.""",FALSE,sindrian_diktat,600000,30,"Comms channels lately have been full of reports of the exploits of one Admiral Arpad Zoltan, a rising star in the Hegemony Navy whose meteoric career mirrors that of Philip Andrada himself during the years leading up to the Askonian Crisis. Perhaps that's why the Diktat has placed such a large price on his head, with the unusual stipulation that the bounty will not be withdrawn until and unless the Diktat Executor himself is personally satisfied with proof of Zoltan's death.",vayra_warlord_artillery,,200,1.2,600,1,,,TRUE,FALSE,209,20,200
vayra_blood_dog_bounty,20,spaceCaptain,Gal,Paladin,reckless,Gal's Gals,Blood Dog,FEMALE,pirates,graphics/portraits/vayra_gal_paladin.png,"""Hypocrite that you are, for you trust the cop inside your head as well as you do the cop in the Hegemony council. All domination is ultimately based on the triumph of the unworthy over the many, the cruel over the innocent. Do you know what my crime was? To dream of a world of freedom, a world where a woman might stand on her own rather than cowing and worshipping at the ruined corpse of the Domain.

To make the distinction unmistakably clear: Freedom is the vital force in human history, our history; Hegemony is that inert mass of institutions and organizations which accumulate around and tend to drag down the advance of life; Freedom is Arkadiy Innokenti facing death by fire; Hegemony is the Domain Intelligence Service, after sixty-two years of inquisition, sending him to the wall; Freedom is mutual aid and self-defense; Hegemony is the judge, the lawbook and the forces of Law; Freedom is uprising, insurrection, revolution; Hegemony is the war of state against state, or of machines against people, as in the fringe systems and Magec; Freedom is tolerance, detachment and humor, or passion, anger, revenge; Hegemony is the entrance examination, the planet-killer, the doctoral dissertation and the summary execution; Freedom is the heroes of the Askonian Revolutionary Council fighting the Persean League, then the Diktat, then the Hegemony, then the Diktat again; Hegemony is Andrada and the Diktat itself; Freedom is Ludd granting us freedom from the tired thanatarchy of the Domain; Hegemony is the Pathers dedicated to tearing down all of the old and the new alike; Freedom is a youth with an antimatter-catalyzed fusion grenade in her hand; Hegemony is the League militiaman or Tri-Tachyon enforcer that guns her down; Freedom is the wild river; Hegemony, 592,000 tons of cement; Freedom flows; Hegemony thickens and coagulates, like tired, sick, stifled blood.

Come, then, unthinking hunting beast that you are. Will you fight, or will you perish like a dog?""",FALSE,hegemony,69000,5,"Delivered on a secure comm channel used by the Hegemony for back-channel deals and bounty postings, denoting a target of such high priority that they deem it necessary to disseminate the information even to enemies of the Hegemony:

WANTED: DEAD OR ALIVE
by order of HIGH HEGEMON BAIKAL DAUD
The notorious pirate known as GAL PALADIN is WANTED
for CRIMES against the HEGEMONY including
PIRACY, SMUGGLING, UNSANCTIONED HEROISM, UNLAWFUL ACTIVITIES, CONSPICUOUS CHARITY, ILLICIT RESCUE ACTIVITY, THOUGHTCRIME, and CONSPIRACY TO AVOID PROSECUTION
significant reward offered via secure cred-channel",vayra_blood_dog_millenium,"hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange",69,0.8,69,1,,,FALSE,FALSE,206,2,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# captainPersonality : officer personality. Must match a string ID in Personalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : text what goes in the intel panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# minimumFleetFP : random autofit faction ships will be added to fleet until its FP passes this number. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# playerFPScalingFactor : random faction ships will be added to fleet until its FP passes the player fleet FP multiplied by this number. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# maximumFleetFP : will not add any randomized/autofit ships beyond this FP value. Hand-picked variants will still be added even if they exceed this. Optional: default Integer.MAX_VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
