name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
# MODULAR,,,,,,,,,,,,,,,,,,
Collapsed Cargo Holds,vayra_collapsedcargo,0,,,"defensive, special, req_spaceport","Defenses, Logistics, Requires Dock",2000,,,,8,15,20,40,data.scripts.hullmods.vayra_collapsedcargo,"Collapses the ship's cargo holds and welds them together for additional protection. Increases the ship's armor by %s, with no loss of mobility. The amount of effective protection that can be gained in this manner limits bonus armor to %s at most.

Reduces available cargo space by %s percent, as some storage can still be crammed into the resulting internal cavities between jury-rigged structural reinforcement beams. Increased stresses of combat-speed acceleration on the new, denser hull plating reduces peak combat performance time by %s percent.

Costs %s OP when installed on a civilian-class vessel without any military-grade sensors, flux-management infrastructure, or targeting equipment to get in the way.",Collapses cargo holds for additional armor.,graphics/icons/markets/shipbreaking.png
Collapsed Cargo Holds,vayra_collapsedcargo_free,,,,"defensive, special, req_spaceport, civOnly","Defenses, Logistics, Requires Dock",,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_collapsedcargo,"Collapses the ship's cargo holds and welds them together for additional protection. Increases the ship's armor by %s, with no loss of mobility. The amount of effective protection that can be gained in this manner limits bonus armor to %s at most.

Reduces available cargo space by %s percent, as some storage can still be crammed into the resulting internal cavities between jury-rigged structural reinforcement beams. Increased stresses of combat-speed acceleration on the new, denser hull plating reduces peak combat performance time by %s percent.

Costs %s OP when installed on a civilian-class vessel without any military-grade sensors, flux-management infrastructure, or targeting equipment to get in the way.",,graphics/icons/markets/shipbreaking.png
,,,,,,,,,,,,,,,,,,
# FOURTENFH BATLTEGRUeP,,,,,,,,,,,,,,,,,,
FOURTENFH BATLTEGRUeP,vayra_pirate_xiv,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_pirate_xiv,"This ship is ALLEGEDLY a survivor of the original 14th Domain Battlegroup which founded the Hegemony. It has been up-armored to the net benefit of %s standard units, and a military-grade power plant has been installed increasing speed, maneuverability, and flux characteristics by %s percent. Despite these modifications (and the clumsily spraypainted 'PHOoeEYNUkS' on the hull plating), it is unlikely that the Hegemony - let alone the Domain of Man - would ever make use of such a vessel.",,graphics/hullmods/vayra_pirate_xiv.png
Very Converted Cargo Bays,vayra_extremely_converted_hangar,1,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_extremely_converted_hangar,"This ship's cargo hold has been hollowed out and converted to hold a trio of makeshift fighter vats, reducing available cargo space by %s. The jury-rigged nanoforges that produce fighter chassis are unreliable, and all components have major defects. Fighter speed reduced by %s, and damage taken increased by %s. Increases the ordnance point cost of bombers by %s, and of all other fighters by %s.

The shuttle bay, notably, remains unmolested. 

For now.",,graphics/hullmods/converted_hangar.png
Looted Thermal Pulse Cannon,vayra_looted_tpc,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraLootedTpc,"This hull is packaged with a jury-rigged %s - no doubt stolen from the wreck of a derelict Onslaught-class battleship - which will %s whenever a suitable weapon mount is left empty and %s are available to mount it. While the weapon can be removed and replaced with another as normal, its supporting flux infrastructure is permanently integrated into the hull and %s as well as %s.",,graphics/hullmods/ballistics_integration.png
,,,,,,,,,,,,,,,,,,
# GENERAL BUILTINS,,,,,,,,,,,,,,,,,,
