id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,number
vayra_hammer_carrier_wing,vayra_hammer_carrier_pod,"bomber0, bomber, drone, low, lowtech_bp, LP_bp, kadur_mining_bp, mercantile",0,,5,6,V,2000,700,600,2,BOMBER,Drone Bomber,20,3500,
vayra_mining_platform_wing,vayra_mining_platform_pod,"support0, drone, low, lowtech_bp, kadur_mining_bp, mercantile",0,,5,2,BOX,0,500,,2,SUPPORT,Support Drone,10,2000,
vayra_lr_mining_drone_wing,vayra_lr_mining_drone_standard,"support0, drone, low, lowtech_bp, kadur_mining_bp, mercantile",0,,5,2,V,2000,300,,3,INTERCEPTOR,Drone,10,2000,
vayra_survey_drone_wing,vayra_survey_drone_standard,"support1, drone, low, kadur_mining_bp, rare_bp, mercantile, scavengers",1,,5,2,CLAW,2000,500,,3,FIGHTER,Drone,5,2500,
vayra_defense_pod_wing,vayra_defense_pod_p_standard,"support0, drone, low, pirate_bp",0,,5,0,BOX,0,500,,4,SUPPORT,Drone,5,1500,
vayra_tac_drone_wing,vayra_tac_drone_beam,"support1, high, hightech_bp, ashen",1,,5,4,CLAW,1000,500,,4,SUPPORT,Support,10,6000,
vayra_battleaxe_wing,vayra_battleaxe_standard,"fighter4, interceptor, support, low, lowtech_bp",2,0.5,8,22,BOX,4000,750,,1,INTERCEPTOR,Escort Gunship,30,10000,
vayra_caliban_wing,vayra_caliban_fighter,"fighter3, fighter, high, hightech_bp",2,,5,12,CLAW,4000,400,,2,FIGHTER,Heavy Fighter,15,9000,
,,,,,,,,,,,,,,,,
vayra_targeting_pod_wing,vayra_targeting_pod_p_standard,"no_drop, no_sell, drone, low",0,,5,0,BOX,0,500,,3,SUPPORT,Drone,20,6000,
vayra_wolverine_wing,vayra_wolverine_m,"no_drop, no_sell, drone, low",0,,8,35,BOX,4000,500,,1,FIGHTER,Drone Frigate,30,26000,
,,,,,,,,,,,,,,,,
vayra_bailey_wing,vayra_bailey_fighter,"no_sell, fighter3, fighter, drone, low, derelict",0,,5,8,BOX,4000,500,-100,2,FIGHTER,Assault Drone,10,4000,
vayra_castellum_wing,vayra_castellum_fighter,"no_sell, bomber1, bomber, drone, low, derelict",0,,5,8,BOX,4000,800,500,2,BOMBER,Bomber Drone,20,6000,
vayra_ditch_wing,vayra_ditch_fighter,"no_sell, interceptor1, interceptor, drone, low, derelict",0,,5,2,BOX,4000,200,100,2,INTERCEPTOR,Interceptor Drone,5,2000,
