name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure Gun,antediluvian_pressure_gun,1,,600,500,,50,,1,30,5,,,,FRAGMENTATION,10,,0,0.1,1,,6,12,1,5,,600,,,10,PD,"pd8, SR, antediluvian, no_bp_drop",,Antediluvian,,Point Defense,,,,,,,,,,1 Small Ballistic
Reflector Beam,antediluvian_reflector,2,,900,800,400,,,5,5,8,,,,KINETIC,,300,0.5,1,0.5,,,,,,2400,,,,,,"beam11, kinetic10, LR, antediluvian, no_bp_drop",,Antediluvian,,Suppression,,,,,,,,,,2 Small Energy
Deucalion-class Torpedo Launcher,antediluvian_torpedo_launcher,2,,1200,1200,,1000,,150,10,4,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,,,,,,150,475,12,300,,"strike5, rocket3, antediluvian, no_bp_drop",,Antediluvian,,Strike,,,,,,,,,TRUE,3 Small Missile
Solon Blaster,antediluvian_solon_blaster,2,,2400,600,,200,,0,10,10,,,,ENERGY,260,,0,0.5,1,,,,,,,1000,,,,,"energy13, antediluvian, no_bp_drop",,Antediluvian,,Assault,,,,,,,,,,5 Medium Energy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Mortar,vayra_precision_mortar,3,0.3,800,800,,150,,10,30,8,,,,HIGH_EXPLOSIVE,100,,0,2,1,,0,0,0,0,,500,,,10,,"he8, LR, remnant, scavengers",,Recovered Tech,,Anti Armor,,,,,,,,,,1 Small Ballistic
Light Plasma Cutter,vayra_light_cutter,1,0.75,150,400,500,,,0,40,4,,,,HIGH_EXPLOSIVE,,700,0.1,1,1,4,,,,,1000,,,,,,"strike4, he4, SR, rare_bp, kadur_mining_bp, pirates",SR_strike_only,,,Strike,,,,,,,,,,2 Small Energy
Ion Scatterer,vayra_ion_scatterer,1,,500,400,,5,200,0,40,6,,,,ENERGY,12,,0.5,0,5,0.1,10,40,10,80,,800,,,,,"energy6, SR, hightech_bp",,,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,2 Small Energy
Graviton Blaster,vayra_grav_blaster,2,,250,500,,100,,0,35,6,,,,KINETIC,120,,0,1,1,,,,,,,1600,,,,,"kinetic6, hightech_bp",,,,Suppression,,,,,,,,,,2 Small Energy
