id,trigger,conditions,script,text,options,notes
,,,,,,
# Rich miners,,,,,,
prvRichMinerHook,OpenCommLink,"!$player.prvRichMinerChat score:10
$entity.knowsWhoPlayerIs == true
$faction.id == rb
$faction.friendlyToPlayer
$entity.relativeStrength < 0
prvIsOutsideCore",$player.prvRichMinerChat = true 720,,"prvRichMinerIntro:Answer incoming hail
prvRichMinerIgnore:Ignore it",
prvRichMinerIntro,DialogOptionSelected,$option == prvRichMinerIntro,,"A smiling face, somewhat grimy from months in space, appears on your comm screen. ""Friend! I have struck it big, and I must celebrate! Come over!""","prvRichMinerAccept:Accept $hisOrHer invitation
prvRichMinerDecline:Politely excuse yourself
prvRichMinerShipRobberyAdjutant:Charge weapons and rob $himOrHer",
prvRichMinerShipRobberyAdjutant,DialogOptionSelected,$option == prvRichMinerShipRobberyAdjutant,,"Your executive officer leans in and quietly reminds you: ""Sir, our transponder is on.""","prvRichMinerShipRobbery:Proceed
prvRichMinerShipRobberyReconsider:Reconsider",
prvRichMinerShipRobberyReconsider,DialogOptionSelected,$option == prvRichMinerShipRobberyReconsider,,"Asking your executive officer to confirm the identity of the other fleet, he gracefully makes it clear that the previous provisionary ID was mistaken and the subject is friendly.",prvRichMinerShipRobberyReconsider1:Continue,
prvRichMinerShipRobberyReconsider1,DialogOptionSelected,$option == prvRichMinerShipRobberyReconsider1,EndConversation NO_CONTINUE,"Making opaque excuses about urgent business you leave $name, who is visibly disappointed and slightly confused.",,
prvRichMinerShipRobbery,DialogOptionSelected,$option == prvRichMinerShipRobbery,$player.prvRichMinerChat = true,"You call battle stations and instruct your master gunner to lock targets. $PersonRank $personLastName looks away from $hisOrHer screen for a moment and returns with a furious scowl. ""You... you filthy bandit! Explain yourself!""","prvRichMinerShipRobberyConfirm:Demand that $heOrShe transfer $hisOrHer cargo
prvRichMinerShipRobberyBackOff:I think there's been a misunderstanding (let $himOrHer go)",
,,,,,,
prvRichMinerShipRobberyConfirm,DialogOptionSelected,$option == prvRichMinerShipRobberyConfirm,"AdjustRepActivePerson -50
AdjustRep rb HOSTILE -50
MakeOtherFleetHostile true
MakeOtherFleetGoAway true","""You fiend!"" $HeOrShe spits the words at you, eyes like daggers. ""We have no choice. We will comply.""",prvRichMinerShipRobberyAddLoot:Load the cargo,
prvRichMinerShipRobberyAddLoot,DialogOptionSelected,$option == prvRichMinerShipRobberyAddLoot,"AddCommodity rare_ore 264
AddCommodity rare_metals 771
AddCredits 7843
$player.ethosRuthless++",,"prvRichMinerShipRobberyEnd:Cut the comm link
prvRichMinerShipRobberyTakeFuel:Also take the fuel and supplies.",
prvRichMinerShipRobberyTakeFuel,DialogOptionSelected,$option == prvRichMinerShipRobberyTakeFuel,"AdjustRepActivePerson -50
AdjustRep rb VENGEFUL -50
AddCommodity supplies 47
AddCommodity fuel 270
$player.ethosRuthless++
$option = prvRichMinerShipRobberyEnd
FireBest DialogOptionSelected",,,
prvRichMinerShipRobberyEnd,DialogOptionSelected,$option == prvRichMinerShipRobberyEnd,EndConversation NO_CONTINUE,,,
