id,trigger,conditions,script,text,options,notes
,,,,,,
### Fristad,,,,,,
prvFristadHuntHook,ReturnFromBar,"$id == prv_kratul_fristad
RollProbability 0.1
!$player.prvFristadHunt
$player.crew > 6",$player.prvFristadHunt = true,"Retracing your unsteady steps towards the landing shuttle, a sudden movement startles you.",prvFristadHunt1:What was that?!,
prvFristadHunt1,DialogOptionSelected,$option == prvFristadHunt1,"SetStoryOption prvFristadHunt1Shoot 1 prvFristadShot ui_char_spent_story_point_combat ""Stopped an alien abduction""","A large hairy tripod creature is escaping your party, moving with uncanny speed and carrying one of your struggling crewmen by the head.","prvFristadHunt1Command:What are you looking at? Shoot it!
prvFristadHunt1Stunned:I- what? What?
prvFristadHunt1Panic:Scream
prvFristadHunt1Shoot:Take it out",
prvFristadHunt1Command,DialogOptionSelected,$option == prvFristadHunt1Command,,"Directing your bodyguards they lay down a barrage of fire towards the rapidly disappearing triped. It takes a glancing hit, but does not appear to slow down.",prvFristadHunt2:Pursue it,
prvFristadHunt1Stunned,DialogOptionSelected,$option == prvFristadHunt1Stunned,,"With you standing baffled, the remains of your bodyguard fire towards the retreating predator, taking care not to hit their kidnapped comrade.",prvFristadHunt2:Pursue it,
prvFristadHunt1Panic,DialogOptionSelected,$option == prvFristadHunt1Panic,,"In what is perhaps not your proudest moment you scream like a little girl as the alien beast carries off one of your security detail. 

The remains of your bodyguard fire towards the retreating predator, taking care not to hit their kidnapped comrade.",prvFristadHunt2:Pursue it,
prvFristadHunt1Shoot,DialogOptionSelected,$option == prvFristadHunt1Shoot,,A lightning draw of your sidearm has you firing at the creature just as it is cresting a ridge. A thunderbolt of plasma destroys one of its legs and it falls over.,prvFristadHunt1Shoot1:Continue,
prvFristadHunt1Shoot1,DialogOptionSelected,$option == prvFristadHunt1Shoot1,,The rest of your group quickly catch up to the beast and tear it to shreds with a burst of microgauss fire.,prvFristadHunt1Shoot2:Continue,
prvFristadHunt1Shoot2,DialogOptionSelected,$option == prvFristadHunt1Shoot2,,The abductee is unresponsive and his head has three deep gashes that are bleeding profusely.,"prvFristadHunt1ShootMedbay:Take the man to your medbay
prvFristadHunt1ShootLeave:Leave him",
prvFristadHunt1ShootMedbay,DialogOptionSelected,$option == prvFristadHunt1ShootMedbay,"ShowDefaultVisual
EndConversation","As the shuttle is not far away you quickly carry the man to the ship's doctor, who stabilizes him. He will need time to recuperate, but should be able to resume his duties.",,
prvFristadHunt1ShootLeave,DialogOptionSelected,$option == prvFristadHunt1ShootLeave,"AddCommodity crew -1
$player.ethosRuthless++
ShowDefaultVisual
EndConversation","You have no need for the unwary, or worse, unlucky. You instruct your guards to leave the stricken man where he is. They look at each other, disconcerted, but obey.",,
