name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
prv Starworks Blueprint Package,prv_standard_package,"package_bp, no_drop",,,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_bp,"Enables heavy industry to construct the common ship hulls, weapons, and fighter LPCs from the ""prv Starworks"" school of design.",294
prv Starworks Advanced Blueprint Package,prv_advanced_package,"package_bp, no_drop",,,60000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_adv_bp,"Enables heavy industry to construct the advanced ship hulls, weapons, and fighter LPCs from the ""prv Starworks"" school of design.",295
prv Starworks Midline Blueprint Package,prv_midline_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_midline_bp,A collection of blueprints for the manufacture of export-model hulls designed by prv Starworks. Clearly marked ”DO NOT DISTRIBUTE”.,296
prv Starworks Auxiliary Refit Package,prv_aux_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_aux_bp,"A data-dump of the prv Auxiliary Ship Program’s administrative files, containing - among other things - all the information needed for a spacewharf to modify common sector ships to prv specs.",293
prv Starworks Stjärngård Blueprint Package,prv_stjarngard_package,package_bp,,,40000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_stjarngard_bp,A collection of blueprints from the ”prv Starworks” school of design. The Works are well known for designing ships armed to the teeth with missiles and energy blasters.,294
prv Starworks Kratul Blueprint Package,prv_kratul_package,package_bp,,,40000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_kratul_bp,"A collection of blueprints from the ”prv Starworks” school of design. The equipment all originates from Kratul Heavy Industries, a traditionalist school focused on carrier fleets and heavy ballistics.",295
prv Starworks Ryak HEL Blueprint Package,prv_hel_package,package_bp,,,40000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_hel_bp,A collection of blueprints from the ”prv Starworks” school of design. The schematics inside all seem to have been developed at the Ryak High-Energy Labs and suggest a sneering disdain for the laws of physics.,296
Rust Belt Pirate Hackchip Package,prv_pirate_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_pirate_bp,A collection of hacks and after-market modification specs that enables heavy industry to construct the reckless ship hulls and weapons of pirates from the fringe of the sector.,297
Rust Belt Blueprint Package,prv_rb_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_rb_bp,"Enables heavy industry to construct the ship hulls, weapons, and fighter LPCs from the ""Rust Belt"" school of design. A considerable portion is in the format of hand-written notes.",298
Luddic Path Hackchip Package,prv_lp_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_lp_bp,A collection of hacks and after-market modification specs that enables heavy industry to construct some of the rarer ship modifications used by members of the Luddic Path.,299
,,,,,,,,,,,,,,,
Gnejserhead Blueprint,prv_rare_package_gnejserhead,no_drop,,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_rare_gnejserhead,"Your chief engineer has performed an exhaustive and fairly brilliant analysis of your combat logs, helping him discover the precise joints and fittings required to manufacture new Gnejserheads from common scrap hulls.",300
Wolf (RB) Blueprint,prv_rare_package_wolf_rb,no_drop,,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prv_rare_wolf_rb,"One of the survivors from the battle with Fridén’s survey team let slip that he knew how to produce Rust Belt-pattern Wolves. After some discussion, and a few meaningful looks towards the airlock, he agreed to write up a technical blueprint in exchange for his freedom.",301
