id,type,frame,magnitude,map,path
,,,,,
#v22,,,,,
prv_agni_hatchling,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_hatchling_normal.png
prv_agni_hatchling,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_hatchling_material.png
prv_agni_hatchling,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_hatchling_surface.png
prv_agni_d_cover_hatchling,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_hatchling_normal.png
prv_agni_d_cover_hatchling,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_hatchling_material.png
prv_agni_d_cover_hatchling,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_hatchling_surface.png
,,,,,
#v22,,,,,
prv_agni_juvenile,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_juvenile_normal.png
prv_agni_juvenile,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_juvenile_material.png
prv_agni_juvenile,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_juvenile_surface.png
prv_agni_d_cover_juvenile,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_juvenile_normal.png
prv_agni_d_cover_juvenile,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_juvenile_material.png
prv_agni_d_cover_juvenile,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_juvenile_surface.png
,,,,,
#v22,,,,,
prv_agni_doe,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_doe_normal.png
prv_agni_doe,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_doe_material.png
prv_agni_doe,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_doe_surface.png
prv_agni_d_cover_doe_l,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_l_normal.png
prv_agni_d_cover_doe_l,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_l_material.png
prv_agni_d_cover_doe_l,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_l_surface.png
prv_agni_d_cover_doe_r,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_r_normal.png
prv_agni_d_cover_doe_r,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_r_material.png
prv_agni_d_cover_doe_r,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_r_surface.png
,,,,,
#v22,,,,,
prv_agni_buck,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_buck_normal.png
prv_agni_buck,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_buck_material.png
prv_agni_buck,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_buck_surface.png
prv_agni_d_cover_buck_l,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_l_normal.png
prv_agni_d_cover_buck_l,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_l_material.png
prv_agni_d_cover_buck_l,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_l_surface.png
prv_agni_d_cover_buck_r,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_r_normal.png
prv_agni_d_cover_buck_r,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_r_material.png
prv_agni_d_cover_buck_r,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_r_surface.png
,,,,,
#v22,,,,,
prv_agni_down,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_down_normal.png
prv_agni_down,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_down_material.png
prv_agni_down,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_down_surface.png
,,,,,
#v22,,,,,
prv_agni_scale,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_scale_normal.png
prv_agni_scale,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_scale_material.png
prv_agni_scale,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_scale_surface.png
,,,,,
#v22,,,,,
prv_agni_module_bastion,ship,,1,normal,graphics/prv/ships/materials/stations/prv_module_agni_bastion_normal.png
prv_agni_module_bastion,ship,,,material,graphics/prv/ships/materials/stations/prv_module_agni_bastion_material.png
prv_agni_module_bastion,ship,,,surface,graphics/prv/ships/materials/stations/prv_module_agni_bastion_surface.png
,,,,,
#v22,,,,,
prv_agni_module_battery,ship,,1,normal,graphics/prv/ships/materials/stations/prv_module_agni_battery_normal.png
prv_agni_module_battery,ship,,,material,graphics/prv/ships/materials/stations/prv_module_agni_battery_material.png
prv_agni_module_battery,ship,,,surface,graphics/prv/ships/materials/stations/prv_module_agni_battery_surface.png
,,,,,
#v22,,,,,
prv_agni_module_citadel,ship,,1,normal,graphics/prv/ships/materials/stations/prv_module_agni_citadel_normal.png
prv_agni_module_citadel,ship,,,material,graphics/prv/ships/materials/stations/prv_module_agni_citadel_material.png
prv_agni_module_citadel,ship,,,surface,graphics/prv/ships/materials/stations/prv_module_agni_citadel_surface.png
,,,,,
#v22,,,,,
prv_agni_module_cocoons,ship,,1,normal,graphics/prv/ships/materials/stations/prv_module_agni_hangar_normal.png
prv_agni_module_cocoons,ship,,,material,graphics/prv/ships/materials/stations/prv_module_agni_hangar_material.png
prv_agni_module_cocoons,ship,,,surface,graphics/prv/ships/materials/stations/prv_module_agni_hangar_surface.png
,,,,,
#v12,,,,,
prv_gnista,ship,,1,normal,graphics/prv/ships/materials/prv_gnista_normal.png
prv_gnista,ship,,,material,graphics/prv/ships/materials/prv_gnista_material.png
prv_gnista,ship,,,surface,graphics/prv/ships/materials/prv_gnista_surface.png
prv_gnista_lc,ship,,1,normal,graphics/prv/ships/materials/prv_gnista_lc_normal.png
prv_gnista_lc,ship,,,material,graphics/prv/ships/materials/prv_gnista_lc_material.png
prv_gnista_lc,ship,,,surface,graphics/prv/ships/materials/prv_gnista_lc_surface.png
prv_gnista_p,ship,,1,normal,graphics/prv/ships/materials/prv_gnista_p_normal.png
prv_gnista_p,ship,,,material,graphics/prv/ships/materials/prv_gnista_p_material.png
prv_gnista_p,ship,,,surface,graphics/prv/ships/materials/prv_gnista_p_surface.png
,,,,,
prv_skiffer,ship,,1,normal,graphics/prv/ships/materials/prv_skiffer_normal.png
prv_skiffer,ship,,,material,graphics/prv/ships/materials/prv_skiffer_material.png
prv_skiffer,ship,,,surface,graphics/prv/ships/materials/prv_skiffer_surface.png
,,,,,
#v19,,,,,
prv_basalt,ship,,1,normal,graphics/prv/ships/materials/prv_basalt_normal.png
prv_basalt,ship,,,material,graphics/prv/ships/materials/prv_basalt_material.png
prv_basalt,ship,,,surface,graphics/prv/ships/materials/prv_basalt_surface.png
,,,,,
#v23,,,,,
prv_wolf_rb,ship,,1,normal,graphics/prv/ships/materials/prv_wolf_rb_normal.png
prv_wolf_rb,ship,,,material,graphics/prv/ships/materials/prv_wolf_rb_material.png
prv_wolf_rb,ship,,,surface,graphics/prv/ships/materials/prv_wolf_rb_surface.png
,,,,,
prv_ljus,ship,,1,normal,graphics/prv/ships/materials/prv_ljus_normal.png
prv_ljus,ship,,,material,graphics/prv/ships/materials/prv_ljus_material.png
prv_ljus,ship,,,surface,graphics/prv/ships/materials/prv_ljus_surface.png
,,,,,
prv_ljus_pather,ship,,1,normal,graphics/prv/ships/materials/prv_ljus_pather_normal.png
prv_ljus_pather,ship,,,material,graphics/prv/ships/materials/prv_ljus_pather_material.png
prv_ljus_pather,ship,,,surface,graphics/prv/ships/materials/prv_ljus_pather_surface.png
,,,,,
#v19,,,,,
prv_flamma,ship,,1,normal,graphics/prv/ships/materials/prv_flamma_normal.png
prv_flamma,ship,,,material,graphics/prv/ships/materials/prv_flamma_material.png
prv_flamma,ship,,,surface,graphics/prv/ships/materials/prv_flamma_surface.png
,,,,,
#v19 NOTE: uses base model normal,,,,,
prv_flamma_midline,ship,,1,normal,graphics/prv/ships/materials/prv_flamma_normal.png
prv_flamma_midline,ship,,,material,graphics/prv/ships/materials/prv_flamma_midline_material.png
prv_flamma_midline,ship,,,surface,graphics/prv/ships/materials/prv_flamma_midline_surface.png
,,,,,
#v19 NOTE: uses base model normal,,,,,
prv_flamma_p,ship,,1,normal,graphics/prv/ships/materials/prv_flamma_normal.png
prv_flamma_p,ship,,,material,graphics/prv/ships/materials/prv_flamma_p_material.png
prv_flamma_p,ship,,,surface,graphics/prv/ships/materials/prv_flamma_p_surface.png
,,,,,
#v14,,,,,
prv_gryning,ship,,1,normal,graphics/prv/ships/materials/prv_gryning_normal.png
prv_gryning,ship,,,material,graphics/prv/ships/materials/prv_gryning_material.png
prv_gryning,ship,,,surface,graphics/prv/ships/materials/prv_gryning_surface.png
prv_gryning_tt,ship,,1,normal,graphics/prv/ships/materials/prv_gryning_tt_normal.png
prv_gryning_tt,ship,,,material,graphics/prv/ships/materials/prv_gryning_tt_material.png
prv_gryning_tt,ship,,,surface,graphics/prv/ships/materials/prv_gryning_tt_surface.png
,,,,,
prv_fasnod,ship,,1,normal,graphics/prv/ships/materials/prv_fasnod_normal.png
prv_fasnod,ship,,,material,graphics/prv/ships/materials/prv_fasnod_material.png
prv_fasnod,ship,,,surface,graphics/prv/ships/materials/prv_fasnod_surface.png
,,,,,
prv_fasnod_p,ship,,1,normal,graphics/prv/ships/materials/prv_fasnod_p_normal.png
prv_fasnod_p,ship,,,material,graphics/prv/ships/materials/prv_fasnod_p_material.png
prv_fasnod_p,ship,,,surface,graphics/prv/ships/materials/prv_fasnod_p_surface.png
,,,,,
prv_gremlin_rb,ship,,1,normal,graphics/prv/ships/materials/prv_gremlin_rb_normal.png
prv_gremlin_rb,ship,,,material,graphics/prv/ships/materials/prv_gremlin_rb_material.png
prv_gremlin_rb,ship,,,surface,graphics/prv/ships/materials/prv_gremlin_rb_surface.png
,,,,,
#v14,,,,,
prv_gremlin_rb_rare,ship,,1,normal,graphics/prv/ships/materials/prv_gremlin_rb_rare_normal.png
prv_gremlin_rb_rare,ship,,,material,graphics/prv/ships/materials/prv_gremlin_rb_rare_material.png
