id,type,text1,text2,text3,notes
#############################,,,,,
###,,,,,
### Agni,,,,,
###,,,,,
#############################,,,,,
,,,,,
### Weapons,,,,,
prv_agni_spines,WEAPON,"”Each spine group is attached to a neuron cluster, and acts independently of the main body ganglions. Their accuracy is most impressive once we consider that they are operating only on impulses from the gravitic sacs and Enholm organs.”","- Emma Sandgren, veterinary neurologist, House Gyllenhaag",,
#prv_agni_claw,WEAPON,"”While the Agni are largely lucivore, we’ve spotted them smashing small asteroids with a claw strike and then consuming the debris. They’re very picky, and finding a suitable rock can take weeks.","- Karl Nilsson, exobiologist, House Gyllenhaag",,
prv_agni_web,WEAPON,"”The spinnet structure is remarkably similar to the silk glands of cocooning insects, and we believe it is primarily used to build nests.”","- Karl Nilsson, exobiologist, House Gyllenhaag",,
prv_agni_teeth,WEAPON,”It took us the better part of a day to extract the damn thing from where it had lodged itself the bulkhead. Plasma cutters simply didn’t work on the enamel.”,"- Erik Tallberg, chief salvor, prv Begynnelsen",,
prv_agni_pureflame_lance,WEAPON,"”We’ve mostly seen them used in mating displays. The brightest, hottest lance attracts the most mates.”","- My Holmquist, exobiologist, House Gyllenhaag",,
prv_agni_flamelash,WEAPON,"”If we disturb the creatures, their first response will be a gout of flame emitted from one of their many gas nozzles. We have not yet found a way for our sample retrieval drones to survive this.”","- Karl Nilsson, exobiologist, House Gyllenhaag",,
prv_agni_conflagration,WEAPON,"”The agitative trial ended with the complete destruction of prv Begynnelsen. But the data is astounding, the energies involved are an order of magnitude beyond what we can account for.”","- Mikael Gyllenhaag, director of exobiology, Fältbiologiska Institutet",,
prv_agni_eye,WEAPON,”I’m gonna be honest. They creep me out.”,"- Björn Lidén, sensors operator, prv Saknad",,
,,,,,
### Systems,,,,,
prv_agni_cocoon,SHIP_SYSTEM,"”We believe the silk is mostly used for nesting. Very durable material, and easily spun.”

 - Agni, an executive primer, House Gyllenhaag archives.",Defensive,"Coats the user in layers of defensive silk, which will absorb any incoming damage until it is depleted.",
prv_agni_cocoon_fighter,SHIP_SYSTEM,"”We believe the silk is mostly used for nesting. Very durable material, and easily spun.”

 - Agni, an executive primer, House Gyllenhaag archives.",Defensive,"Coats the user in layers of defensive silk, which will absorb any incoming damage until it is depleted.",
prv_agni_microburn,SHIP_SYSTEM,"”They can be frightfully fast, expecially the larger males, though they also tire quickly.”

 - Agni, an executive primer, House Gyllenhaag archives.",Movement,Quickly leaps forward at high speed.,
,,,,,
### Ships,,,,,
prv_agni_buck,SHIP,"”Adult bucks are generally found travelling in shoals of one to three families, jealously guarding the breeding-age females from competitors.”

 - Agni, an executive primer, House Gyllenhaag archives.",Unidentified Creature,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
prv_agni_doe,SHIP,"”Adult females spend most of their time rearing hatchlings.  Does without young usually stay near the nest, maintaining and improving it.”

 - Agni, an executive primer, House Gyllenhaag archives.",Unidentified Creature,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",
