trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
trails_hellbore_4,hellbore_shot,base_trail_heavySmoke,10,0.2,0.3,0.7,20,40,"[50,50,50]","[20,20,20]",0.5,300,5,TRUE,-50,2,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,true,false
trails_hellbore_1,hellbore_shot,trails_trail_foggy,10,0,0,0.3,20,10,"[255,160,30]","[204,50,50]",0.5,300,5,TRUE,20,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_hellbore_5,hellbore_shot,base_trail_zap,10,0,0,0.8,15,20,"[255,100,30]","[204,50,50]",0.8,300,5,TRUE,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_hellbore_2,hellbore_shot,trails_trail_contrail,10,0,0,0.6,25,35,"[100,60,50]","[50,10,10]",0.4,200,5,TRUE,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_hellbore_3,hellbore_shot,trails_trail_contrail,10,0.05,0.1,0.2,20,30,"[150,120,100]","[50,10,10]",0.3,200,5,TRUE,10,0,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
trails_gauss_1,gauss_shot,trails_trail_zappy,10,0.1,0,0.8,7,3,"[120,120,255]","[180,190,255]",0.4,-1,0,TRUE,30,0,1,TRUE,FALSE,TRUE,15,80,0.6,0,0,200,true,false
trails_gauss_2,gauss_shot,trails_trail_zappy,10,0.1,0,0.8,7,3,"[120,120,255]","[180,190,255]",0.4,-1,0,TRUE,30,0,1,TRUE,FALSE,TRUE,15,80,0.4,0,0,200,true,false
trails_gauss_glow,gauss_shot,trails_trail_smooth,10,0,0.05,0.15,60,30,"[120,120,255]","[100,100,25]",0.5,-1,0,TRUE,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_hveldriver,hveldriver_shot,trails_trail_zappy,10,0,0.1,0.5,15,4,"[110,170,255]","[180,180,190]",0.5,-1,0,TRUE,20,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
trails_hveldriver_2,hveldriver_shot,base_trail_zap,10,0,0,0.4,20,20,"[95,75,255]","[125,95,255]",0.3,128,10,TRUE,20,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
trails_railgun,railgun_shot,trails_trail_zappy,10,0,0.1,0.15,12,4,"[200,200,255]","[180,180,190]",0.3,-1,0,TRUE,20,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
trails_heavymauler_smoke2,heavymauler_shot,base_trail_heavySmoke,10,0.1,0.1,0.5,10,20,"[50,50,50]","[20,20,20]",0.5,200,5,TRUE,10,2,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,true,false
trails_heavymauler,heavymauler_shot,trails_trail_foggy,10,0.05,0.05,0.2,15,10,"[255,200,70]","[60,30,20]",0.5,400,5,TRUE,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_heavymauler_cinder,heavymauler_shot,base_trail_zap,10,0,0.05,0.25,8,10,"[255,170,30]","[204,100,50]",0.8,300,5,TRUE,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_mjolnir,mjolnir_shot,base_trail_zap,10,0.05,0,0.2,24,8,"[95,75,255]","[125,95,255]",0.6,200,100,TRUE,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_mjolnir_glow,mjolnir_shot,trails_trail_smooth,10,0,0.05,0.1,80,60,"[95,75,255]","[125,95,255]",0.6,200,1000,TRUE,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_plasma_1,plasma_shot,base_trail_zap,10,0,0.1,0.1,25,15,"[205,100,255]","[255,50,100]",0.5,200,200,TRUE,20,0,1,TRUE,FALSE,TRUE,100,20,0.3,0,1000,200,true,false
trails_plasma_2,plasma_shot,base_trail_zap,10,0,0.1,0.15,25,15,"[205,100,255]","[255,50,100]",0.5,200,200,TRUE,20,0,1,TRUE,FALSE,TRUE,100,20,0.3,0,1000,200,true,false
trails_plasma_3,plasma_shot,base_trail_zap,10,0,0.05,0.15,25,15,"[205,205,255]","[145,0,205]",0.9,200,200,TRUE,20,0,1,TRUE,FALSE,TRUE,100,100,0.3,0,0,300,true,false
#Mods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiandong_mauler_battery_smoke,tiandong_mauler_battery_shot,base_trail_heavySmoke,10,0,0.1,0.7,20,30,"[50,50,50]","[20,20,20]",0.5,200,5,TRUE,10,2,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,true,false
